,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2008,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,962,407,555,-
6,,,,,
7,New arrivals,301,120,181,-
8,Adjustments of status,661,287,374,-
9,,,,,
10,Age,,,,
11,Under 18 years,200,93,107,-
12,18 to 24 years,92,41,51,-
13,25 to 34 years,281,102,179,-
14,35 to 44 years,195,89,106,-
15,45 to 54 years,93,41,52,-
16,55 to 64 years,56,21,35,-
17,65 years and over,45,20,25,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,319,156,163,-
22,Married,600,239,361,-
23,Other,39,9,30,-
24,Unknown,4,3,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",174,116,58,-
28,Service occupations,30,15,15,-
29,Sales and office occupations,32,12,20,-
30,"Farming, fishing, and forestry occupations",9,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",27,18,9,-
33,Military,D,-,D,-
34,No occupation/not working outside home,458,148,310,-
35,Homemakers,128,6,122,-
36,Students or children,234,107,127,-
37,Retirees,14,5,9,-
38,Unemployed,82,30,52,-
39,Unknown,227,87,140,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,159,64,95,-
43,Employment-based preferences,300,155,145,-
44,Immediate relatives of U.S. citizens,405,140,265,-
45,Diversity,40,22,18,-
46,Refugees and asylees,51,21,30,-
47,Other,7,5,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,12,5,7,-
51,Brazil,16,7,9,-
52,Canada,35,14,21,-
53,China,81,31,50,-
54,Colombia,12,7,5,-
55,Germany,28,10,18,-
56,India,50,23,27,-
57,Iran,12,D,D,-
58,Korea,27,11,16,-
59,Mexico,234,99,135,-
60,Nepal,75,33,42,-
61,Peru,11,7,4,-
62,Philippines,11,-,11,-
63,Russia,32,13,19,-
64,Soviet Union (former),11,4,7,-
65,Sweden,15,8,7,-
66,Taiwan,16,8,8,-
67,Thailand,12,D,D,-
68,United Kingdom,30,17,13,-
69,Vietnam,33,13,20,-
70,Other,209,91,118,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
