,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,784,423,361,-
6,,,,,
7,New arrivals,272,130,142,-
8,Adjustments of status,512,293,219,-
9,,,,,
10,Age,,,,
11,Under 18 years,107,45,62,-
12,18 to 24 years,78,47,31,-
13,25 to 34 years,212,120,92,-
14,35 to 44 years,212,107,105,-
15,45 to 54 years,112,64,48,-
16,55 to 64 years,33,22,11,-
17,65 years and over,30,18,12,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,528,296,232,-
22,Single,215,99,116,-
23,Other,39,28,11,-
24,Unknown,2,-,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",136,44,92,-
28,Service occupations,19,6,13,-
29,Sales and office occupations,27,16,11,-
30,"Farming, fishing, and forestry occupations",5,-,5,-
31,"Construction, extraction, maintenance and repair occupations",8,-,8,-
32,"Production, transportation, and material moving occupations",31,7,24,-
33,Military,-,-,-,-
34,No occupation/not working outside home,312,198,114,-
35,Homemakers,78,75,3,-
36,Students or children,140,60,80,-
37,Retirees,9,4,5,-
38,Unemployed,85,59,26,-
39,Unknown,246,152,94,-
40,,,,,
41,Broad class of admission,,,,
42,Immediate relatives of U.S. citizens,362,212,150,-
43,Family-sponsored preferences,82,42,40,-
44,Employment-based preferences,191,85,106,-
45,Diversity,64,27,37,-
46,Refugees and asylees,12,3,9,-
47,Other,73,54,19,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,10,D,D,-
51,Brazil,14,9,5,-
52,Canada,25,16,9,-
53,"China, People's Republic",53,31,22,-
54,Colombia,11,7,4,-
55,France,8,5,3,-
56,Germany,8,D,D,-
57,Honduras,8,D,D,-
58,India,45,20,25,-
59,Iran,8,4,4,-
60,"Korea, South",18,10,8,-
61,Mexico,212,121,91,-
62,Nepal,70,28,42,-
63,Philippines,9,D,D,-
64,Russia,11,5,6,-
65,Spain,8,4,4,-
66,Taiwan,10,4,6,-
67,Turkey,9,4,5,-
68,United Kingdom,23,9,14,-
69,Vietnam,15,10,5,-
70,Other,208,117,91,-
71,Unknown,1,1,-,-
72,D Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security.,,,,
