,Persons Becoming Legal Permanent Residents During Fiscal Year 2005,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Silverthorne, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,93,38,55,-
6,,,,,
7,Age,,,,
8,Under 18 years,12,5,7,-
9,18-24 years,12,3,9,-
10,25-34 years,38,14,24,-
11,35-44 years,22,12,10,-
12,45-54 years,D,D,5,-
13,55-64 years,D,D,-,-
14,65 years and over,D,D,-,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,D,11,D,-
19,Married,66,27,39,-
20,Other,D,-,D,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,4,D,D,-
25,Professional and technical,9,4,5,-
26,Sales,D,D,D,-
27,Administrative support,4,D,D,-
28,"Farming, forestry, fisheries",-,-,-,-
29,"Operators, fabricators, laborers",D,-,D,-
30,"Precision production, craft, repair",-,-,-,-
31,Service,7,3,4,-
32,Military,-,-,-,-
33,No occupation,22,5,17,-
34,Unknown,44,20,24,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,8,5,3,-
38,Employment-based preferences,10,5,5,-
39,Immediate relatives of U.S. citizens,55,17,38,-
40,Diversity programs,9,5,4,-
41,Refugee and asylee adjustments,6,3,3,-
42,Other,5,3,2,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Argentina,5,D,D,-
46,Australia,D,D,-,-
47,Belarus,4,D,D,-
48,Bulgaria,3,D,D,-
49,Canada,4,D,D,-
50,China,4,-,4,-
51,Colombia,4,-,4,-
52,Costa Rica,D,-,D,-
53,Czechoslovakia (former),D,D,D,-
54,Guatemala,3,D,D,-
55,Hungary,D,-,D,-
56,Ireland,D,D,-,-
57,Mauritania,3,3,-,-
58,Mexico,20,11,9,-
59,Poland,3,D,D,-
60,Russia,5,D,D,-
61,Slovak Republic,D,D,D,-
62,Soviet Union (former),D,-,D,-
63,Ukraine,3,D,D,-
64,United Kingdom,4,D,D,-
65,Other,16,6,10,-
66,,,,,
67,- Represents zero,,,,
68,D  Data withheld to limit disclosure.,,,,
