,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2007,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Silverthorne, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,99,53,46,-
6,,,,,
7,New arrivals,30,15,15,-
8,Adjustments of status,69,38,31,-
9,,,,,
10,Age,,,,
11,Under 18 years,15,10,5,-
12,18 to 24 years,13,D,D,-
13,25 to 34 years,46,19,27,-
14,35 to 44 years,12,D,D,-
15,45 to 54 years,9,6,3,-
16,55 to 64 years,4,D,D,-
17,65 years and over,-,-,-,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,D,19,D,-
22,Married,64,32,32,-
23,Other,D,-,D,-
24,Unknown,3,2,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",11,D,D,-
28,Service occupations,5,D,D,-
29,Sales and office occupations,9,3,6,-
30,"Farming, fishing, and forestry occupations",D,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",5,5,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,31,12,19,-
35,Homemakers,6,-,6,-
36,Students or children,17,D,D,-
37,Retirees,-,-,-,-
38,Unemployed,8,D,D,-
39,Unknown,34,21,13,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,7,4,3,-
43,Employment-based preferences,7,3,4,-
44,Immediate relatives of U.S. citizens,49,19,30,-
45,Diversity,9,5,4,-
46,Refugees and asylees,27,22,5,-
47,Other,-,-,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,3,-,3,-
51,Australia,D,-,D,-
52,Belarus,3,-,3,-
53,Brazil,D,-,D,-
54,Canada,D,D,-,-
55,Czechoslovakia (former),3,-,3,-
56,El Salvador,D,D,-,-
57,Lithuania,5,D,D,-
58,Mauritania,18,D,D,-
59,Mexico,17,7,10,-
60,Moldova,D,D,D,-
61,Morocco,D,-,D,-
62,New Zealand,D,D,D,-
63,Poland,7,D,D,-
64,Russia,3,D,D,-
65,Soviet Union (former),3,D,D,-
66,Ukraine,D,D,-,-
67,United Kingdom,4,D,D,-
68,Uzbekistan,5,D,D,-
69,Other,13,8,5,-
70,D  Data withheld to limit disclosure.,,,,
71,- Represents zero.,,,,
72,Source: U.S. Department of Homeland Security,,,,
