,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Breckenridge, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,74,44,30,-
6,,,,,
7,New arrivals,40,19,21,-
8,Adjustments of status,34,25,9,-
9,,,,,
10,Age,,,,
11,Under 18 years,17,10,7,-
12,18 to 24 years,13,8,5,-
13,25 to 34 years,22,13,9,-
14,35 to 44 years,16,10,6,-
15,45 to 54 years,D,D,D,-
16,55 to 64 years,-,-,-,-
17,65 years and over,D,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,46,31,15,-
22,Single,28,13,15,-
23,Other,-,-,-,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",6,3,3,-
28,Service occupations,3,D,D,-
29,Sales and office occupations,4,D,D,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",D,-,D,-
32,"Production, transportation, and material moving occupations",D,-,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,33,23,10,-
35,Homemakers,6,6,-,-
36,Students or children,21,D,D,-
37,Retirees,-,-,-,-
38,Unemployed,6,D,D,-
39,Unknown,25,15,10,-
40,,,,,
41,Broad class of admission,,,,
42,Immediate relatives of U.S. citizens,49,30,19,-
43,Family-sponsored preferences,7,D,D,-
44,Employment-based preferences,4,D,D,-
45,Diversity,13,D,D,-
46,Refugees and asylees,-,-,-,-
47,Other,1,1,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,3,3,-,-
51,Armenia,D,D,-,-
52,Austria,D,-,D,-
53,Belarus,D,D,D,-
54,Canada,D,D,-,-
55,"China, People's Republic",D,D,-,-
56,Czechia,D,D,-,-
57,Ecuador,D,D,-,-
58,El Salvador,D,D,-,-
59,Germany,D,-,D,-
60,Guatemala,4,D,D,-
61,Honduras,D,D,-,-
62,Jamaica,4,D,D,-
63,Mexico,17,11,6,-
64,Peru,4,D,D,-
65,Poland,D,D,D,-
66,Senegal,8,D,D,-
67,Ukraine,3,D,D,-
68,United Kingdom,4,D,D,-
69,Uzbekistan,8,4,4,-
70,Other,4,4,-,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
