,Persons Becoming Legal Permanent Residents During Fiscal Year 2003,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,909,373,536,-
6,,,,,
7,Age,,,,
8,Under 18 years,194,85,109,-
9,18-24 years,114,40,74,-
10,25-34 years,311,132,179,-
11,35-44 years,144,60,84,-
12,45-54 years,70,27,43,-
13,55-64 years,42,15,27,-
14,65 years and over,34,14,20,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,263,123,140,-
19,Married,614,246,368,-
20,Other,30,4,26,-
21,Unknown,2,-,2,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,17,11,6,-
25,Professional and technical,49,34,15,-
26,Sales,5,D,D,-
27,Administrative support,9,D,D,-
28,"Farming, forestry, fisheries",D,D,-,-
29,"Operators, fabricators, laborers",14,8,6,-
30,"Precision production, craft, repair",D,D,-,-
31,Service,31,16,15,-
32,Military,-,-,-,-
33,No occupation,319,109,210,-
34,Unknown,461,188,273,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,77,45,32,-
38,Employment-based preferences,124,65,59,-
39,Immediate relatives of U.S. citizens,637,231,406,-
40,Diversity programs,26,11,15,-
41,Refugee and asylee adjustments,29,14,15,-
42,Other,16,7,9,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Bosnia and Herzegovina,14,6,8,-
46,Canada,38,16,22,-
47,China,65,15,50,-
48,Colombia,19,6,13,-
49,France,12,6,6,-
50,Germany,46,13,33,-
51,India,62,36,26,-
52,Iran,17,8,9,-
53,Jamaica,17,9,8,-
54,Japan,13,D,D,-
55,Korea,46,17,29,-
56,Mexico,148,80,68,-
57,Peru,10,D,D,-
58,Philippines,55,13,42,-
59,Romania,11,6,5,-
60,Russia,40,8,32,-
61,Taiwan,10,4,6,-
62,Ukraine,16,6,10,-
63,United Kingdom,27,14,13,-
64,Vietnam,22,7,15,-
65,Other,219,97,122,-
66,Unknown,2,1,1,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
