,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,925,339,544,42
6,,,,,
7,New arrivals,439,156,241,42
8,Adjustments of status,486,183,303,-
9,,,,,
10,Age,,,,
11,Under 18 years,186,90,95,1
12,18 to 24 years,132,48,84,-
13,25 to 34 years,230,66,163,1
14,35 to 44 years,160,63,96,1
15,45 to 54 years,78,32,46,-
16,55 to 64 years,57,18,38,1
17,65 years and over,45,22,22,1
18,Unknown,37,-,-,37
19,,,,,
20,Marital status,,,,
21,Single,288,142,140,6
22,Married,582,182,366,34
23,Other,44,8,34,2
24,Unknown,11,7,4,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",107,59,44,4
28,Service occupations,42,19,21,2
29,Sales and office occupations,24,6,14,4
30,"Farming, fishing, and forestry occupations",10,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,1
32,"Production, transportation, and material moving occupations",13,9,D,D
33,Military,D,D,-,-
34,No occupation/not working outside home,440,133,286,21
35,Homemakers,118,D,108,D
36,Students or children,227,105,117,5
37,Retirees,8,D,D,-
38,Unemployed,87,22,D,D
39,Unknown,284,101,175,8
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,91,36,48,7
43,Employment-based preferences,132,69,63,-
44,Immediate relatives of U.S. citizens,567,167,367,33
45,Diversity,22,14,6,2
46,Refugees and asylees,69,30,39,-
47,Other,44,23,21,-
48,,,,,
49,Leading countries of birth,,,,
50,Bhutan,23,13,10,-
51,Canada,27,11,16,-
52,China,61,23,36,2
53,Colombia,18,D,D,-
54,Ethiopia,11,D,D,-
55,Germany,43,8,29,6
56,Ghana,12,D,9,D
57,India,33,17,15,1
58,Iran,14,6,8,-
59,Iraq,25,12,13,-
60,Jamaica,40,17,21,2
61,Kenya,15,7,6,2
62,"Korea, South",43,15,27,1
63,Mexico,126,50,72,4
64,Nepal,36,15,21,-
65,Nigeria,13,6,6,1
66,Philippines,74,19,46,9
67,Russia,13,3,9,1
68,United Kingdom,38,18,20,-
69,Vietnam,21,8,13,-
70,Other,235,80,147,8
71,Unknown,4,-,-,4
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
