,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,841,349,491,1
6,,,,,
7,New arrivals,457,198,258,1
8,Adjustments of status,384,151,233,-
9,,,,,
10,Age,,,,
11,Under 18 years,190,95,95,-
12,18 to 24 years,108,42,66,-
13,25 to 34 years,240,91,148,1
14,35 to 44 years,130,56,74,-
15,45 to 54 years,72,26,46,-
16,55 to 64 years,63,29,34,-
17,65 years and over,38,10,28,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,303,163,140,-
22,Married,488,176,311,1
23,Other,48,8,40,-
24,Unknown,2,2,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",75,49,26,-
28,Service occupations,24,13,11,-
29,Sales and office occupations,23,7,16,-
30,"Farming, fishing, and forestry occupations",9,6,3,-
31,"Construction, extraction, maintenance and repair occupations",6,D,D,-
32,"Production, transportation, and material moving occupations",22,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,445,145,300,-
35,Homemakers,124,4,120,-
36,Students or children,232,114,118,-
37,Retirees,7,-,7,-
38,Unemployed,82,27,55,-
39,Unknown,237,104,132,1
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,95,44,51,-
43,Employment-based preferences,100,54,46,-
44,Immediate relatives of U.S. citizens,453,145,307,1
45,Diversity,25,13,12,-
46,Refugees and asylees,65,36,29,-
47,Other,103,57,46,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,63,39,24,-
51,Bhutan,12,4,8,-
52,Burma,10,D,D,-
53,Canada,9,5,4,-
54,China,39,15,24,-
55,Cuba,12,5,7,-
56,Ethiopia,12,D,D,-
57,Germany,27,5,22,-
58,India,44,22,22,-
59,Iraq,28,15,13,-
60,Jamaica,27,15,12,-
61,Kenya,18,8,10,-
62,"Korea, South",31,8,23,-
63,Mexico,108,41,67,-
64,Nepal,14,7,6,1
65,Philippines,83,32,51,-
66,Romania,9,D,D,-
67,United Kingdom,21,12,9,-
68,Venezuela,9,D,D,-
69,Vietnam,34,11,23,-
70,Other,231,83,148,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
