,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,1114,652,462,-
6,,,,,
7,New arrivals,478,259,219,-
8,Adjustments of status,636,393,243,-
9,,,,,
10,Age,,,,
11,Under 18 years,200,89,111,-
12,18 to 24 years,167,112,55,-
13,25 to 34 years,328,197,131,-
14,35 to 44 years,151,86,65,-
15,45 to 54 years,128,79,49,-
16,55 to 64 years,89,56,33,-
17,65 years and over,51,33,18,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,681,438,243,-
22,Single,361,159,202,-
23,Other,55,45,10,-
24,Unknown,17,10,7,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",80,41,39,-
28,Service occupations,29,12,17,-
29,Sales and office occupations,35,22,13,-
30,"Farming, fishing, and forestry occupations",D,D,4,-
31,"Construction, extraction, maintenance and repair occupations",22,-,22,-
32,"Production, transportation, and material moving occupations",31,8,23,-
33,Military,D,D,-,-
34,No occupation/not working outside home,521,335,186,-
35,Homemakers,137,D,D,-
36,Students or children,242,113,129,-
37,Retirees,11,D,D,-
38,Unemployed,131,84,47,-
39,Unknown,389,231,158,-
40,,,,,
41,Broad class of admission,,,,
42,Immediate relatives of U.S. citizens,629,426,203,-
43,Family-sponsored preferences,113,52,61,-
44,Employment-based preferences,59,26,33,-
45,Diversity,33,12,21,-
46,Refugees and asylees,187,87,100,-
47,Other,93,49,44,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,43,19,24,-
51,Cameroon,13,8,5,-
52,Canada,20,16,4,-
53,"China, People's Republic",33,17,16,-
54,Cuba,103,46,57,-
55,El Salvador,16,10,6,-
56,Germany,24,19,5,-
57,Guatemala,15,4,11,-
58,India,22,13,9,-
59,Iraq,65,38,27,-
60,Jamaica,28,18,10,-
61,Kenya,23,13,10,-
62,"Korea, South",29,21,8,-
63,Mexico,215,117,98,-
64,Nepal,37,19,18,-
65,Nigeria,18,13,5,-
66,Peru,16,4,12,-
67,Philippines,88,71,17,-
68,Venezuela,12,3,9,-
69,Vietnam,22,16,6,-
70,Other,272,167,105,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
