,Persons Becoming Legal Permanent Residents During Fiscal Year 2003,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Denver, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,6903,3082,3821,-
6,,,,,
7,Age,,,,
8,Under 18 years,1315,564,751,-
9,18-24 years,932,410,522,-
10,25-34 years,2283,1080,1203,-
11,35-44 years,1095,485,610,-
12,45-54 years,524,228,296,-
13,55-64 years,385,147,238,-
14,65 years and over,368,167,201,-
15,Unknown,1,1,-,-
16,,,,,
17,Marital status,,,,
18,Single,2063,980,1083,-
19,Married,4586,2046,2540,-
20,Other,235,43,192,-
21,Unknown,19,13,6,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,181,129,52,-
25,Professional and technical,335,233,102,-
26,Sales,73,30,43,-
27,Administrative support,53,18,35,-
28,"Farming, forestry, fisheries",47,28,19,-
29,"Operators, fabricators, laborers",124,84,40,-
30,"Precision production, craft, repair",43,29,14,-
31,Service,196,101,95,-
32,Military,-,-,-,-
33,No occupation,2158,798,1360,-
34,Unknown,3693,1632,2061,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,737,331,406,-
38,Employment-based preferences,632,331,301,-
39,Immediate relatives of U.S. citizens,4357,1788,2569,-
40,Diversity programs,572,318,254,-
41,Refugee and asylee adjustments,350,187,163,-
42,Other,255,127,128,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Canada,202,99,103,-
46,China,392,87,305,-
47,Colombia,74,25,49,-
48,El Salvador,102,53,49,-
49,Ethiopia,262,138,124,-
50,Ghana,84,45,39,-
51,Guatemala,77,46,31,-
52,India,288,137,151,-
53,Iran,77,30,47,-
54,Japan,78,22,56,-
55,Korea,152,69,83,-
56,Mexico,2047,982,1065,-
57,Nepal,86,42,44,-
58,Nigeria,80,37,43,-
59,Peru,99,39,60,-
60,Philippines,133,42,91,-
61,Russia,242,89,153,-
62,Ukraine,150,59,91,-
63,United Kingdom,121,68,53,-
64,Vietnam,354,123,231,-
65,Other,1791,844,947,-
66,Unknown,12,6,6,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
