,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2006,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Denver-Aurora, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,8401,3576,4825,-
6,,,,,
7,New arrivals,3199,1319,1880,-
8,Adjustments of status,5202,2257,2945,-
9,,,,,
10,Age,,,,
11,Under 18 years,1870,870,1000,-
12,18 to 24 years,1153,479,674,-
13,25 to 34 years,2170,872,1298,-
14,35 to 44 years,1434,651,783,-
15,45 to 54 years,717,284,433,-
16,55 to 64 years,526,187,339,-
17,65 years and over,531,233,298,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,3042,1494,1548,-
22,Married,4876,1972,2904,-
23,Other,407,72,335,-
24,Unknown,76,38,38,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",604,380,224,-
28,Service occupations,323,182,141,-
29,Sales and office occupations,290,128,162,-
30,"Farming, fishing, and forestry occupations",99,85,14,-
31,"Construction, extraction, maintenance and repair occupations",45,45,-,-
32,"Production, transportation, and material moving occupations",259,192,67,-
33,Military,-,-,-,-
34,No occupation/not working outside home,3928,1334,2594,-
35,Homemakers,929,29,900,-
36,Students or children,2233,1028,1205,-
37,Retirees,80,32,48,-
38,Unemployed,686,245,441,-
39,Unknown,2853,1230,1623,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,1209,495,714,-
43,Employment-based preferences,649,329,320,-
44,Immediate relatives of U.S. citizens,4416,1639,2777,-
45,Diversity,501,263,238,-
46,Refugees and asylees,1400,727,673,-
47,Other,226,123,103,-
48,,,,,
49,Leading countries of birth,,,,
50,Canada,169,72,97,-
51,China,464,133,331,-
52,Colombia,120,42,78,-
53,El Salvador,152,77,75,-
54,Ethiopia,584,280,304,-
55,Ghana,111,65,46,-
56,Guatemala,124,63,61,-
57,India,152,71,81,-
58,Iran,115,47,68,-
59,Kenya,122,59,63,-
60,Korea,202,84,118,-
61,Mexico,1949,790,1159,-
62,Nepal,123,69,54,-
63,Peru,169,66,103,-
64,Philippines,192,66,126,-
65,Russia,234,105,129,-
66,Sudan,124,80,44,-
67,Ukraine,169,72,97,-
68,United Kingdom,151,96,55,-
69,Vietnam,382,146,236,-
70,Other,2580,1089,1491,-
71,Unknown,13,4,9,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
