,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Denver-Aurora-Lakewood, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,8549,4464,4085,-
6,,,,,
7,New arrivals,3760,1903,1857,-
8,Adjustments of status,4789,2561,2228,-
9,,,,,
10,Age,,,,
11,Under 18 years,1768,844,924,-
12,18 to 24 years,1146,590,556,-
13,25 to 34 years,2224,1141,1083,-
14,35 to 44 years,1622,847,775,-
15,45 to 54 years,879,493,386,-
16,55 to 64 years,530,324,206,-
17,65 years and over,380,225,155,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,4827,2660,2167,-
22,Single,3130,1384,1746,-
23,Other,543,396,147,-
24,Unknown,49,24,25,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",1173,413,760,-
28,Service occupations,283,118,165,-
29,Sales and office occupations,138,58,80,-
30,"Farming, fishing, and forestry occupations",24,5,19,-
31,"Construction, extraction, maintenance and repair occupations",234,8,226,-
32,"Production, transportation, and material moving occupations",191,45,146,-
33,Military,-,-,-,-
34,No occupation/not working outside home,3657,2308,1349,-
35,Homemakers,1047,989,58,-
36,Students or children,2155,1020,1135,-
37,Retirees,78,47,31,-
38,Unemployed,377,252,125,-
39,Unknown,2849,1509,1340,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,1276,687,589,-
43,Employment-based preferences,921,437,484,-
44,Immediate relatives of U.S. citizens,3389,1991,1398,-
45,Diversity,703,264,439,-
46,Refugees and asylees,1818,825,993,-
47,Other,442,260,182,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,125,53,72,-
51,Bhutan,149,72,77,-
52,Burma,318,126,192,-
53,Canada,134,64,70,-
54,China,326,195,131,-
55,"Congo, Democratic Republic of the",148,69,79,-
56,El Salvador,94,53,41,-
57,Ethiopia,540,263,277,-
58,India,356,180,176,-
59,Iran,100,54,46,-
60,Iraq,368,162,206,-
61,"Korea, South",112,61,51,-
62,Mexico,2144,1187,957,-
63,Nepal,305,146,159,-
64,Philippines,140,95,45,-
65,Russia,90,51,39,-
66,Somalia,100,49,51,-
67,Thailand,112,60,52,-
68,United Kingdom,121,45,76,-
69,Vietnam,360,200,160,-
70,Other,2405,1277,1128,-
71,Unknown,2,2,-,-
72,D Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security.,,,,
