,Persons Becoming Legal Permanent Residents During Fiscal Year 2005,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,259,105,154,-
6,,,,,
7,Age,,,,
8,Under 18 years,59,23,36,-
9,18-24 years,32,14,18,-
10,25-34 years,95,36,59,-
11,35-44 years,45,19,26,-
12,45-54 years,12,D,D,-
13,55-64 years,11,4,7,-
14,65 years and over,5,D,D,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,91,D,D,-
19,Married,161,61,100,-
20,Other,5,D,D,-
21,Unknown,2,-,2,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,10,D,D,-
25,Professional and technical,5,D,D,-
26,Sales,5,D,D,-
27,Administrative support,3,D,D,-
28,"Farming, forestry, fisheries",5,5,-,-
29,"Operators, fabricators, laborers",6,6,-,-
30,"Precision production, craft, repair",6,6,-,-
31,Service,20,10,10,-
32,Military,-,-,-,-
33,No occupation,98,27,71,-
34,Unknown,101,41,60,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,55,19,36,-
38,Employment-based preferences,66,38,28,-
39,Immediate relatives of U.S. citizens,121,41,80,-
40,Diversity programs,11,4,7,-
41,Refugee and asylee adjustments,-,-,-,-
42,Other,6,3,3,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Australia,9,5,4,-
46,Austria,3,3,-,-
47,Belarus,3,D,D,-
48,Brazil,5,D,D,-
49,Bulgaria,10,4,6,-
50,Canada,7,3,4,-
51,China,8,D,D,-
52,El Salvador,3,D,D,-
53,Germany,3,-,3,-
54,Guatemala,4,D,D,-
55,Honduras,14,6,8,-
56,Japan,3,D,D,-
57,Mexico,131,55,76,-
58,New Zealand,6,D,D,-
59,Poland,6,D,D,-
60,Romania,4,D,D,-
61,Russia,3,-,3,-
62,Slovak Republic,3,D,D,-
63,South Africa,6,3,3,-
64,United Kingdom,6,D,D,-
65,Other,21,8,13,-
66,Unknown,1,1,-,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
