,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2010,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,242,95,147,-
6,,,,,
7,New arrivals,79,31,48,-
8,Adjustments of status,163,64,99,-
9,,,,,
10,Age,,,,
11,Under 18 years,39,21,18,-
12,18 to 24 years,46,17,29,-
13,25 to 34 years,73,22,51,-
14,35 to 44 years,46,18,28,-
15,45 to 54 years,20,10,10,-
16,55 to 64 years,8,4,4,-
17,65 years and over,10,3,7,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,67,D,D,-
22,Married,161,52,109,-
23,Other,8,D,D,-
24,Unknown,6,4,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",8,D,D,-
28,Service occupations,18,6,12,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",10,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,105,37,68,-
35,Homemakers,38,D,D,-
36,Students or children,46,26,20,-
37,Retirees,D,D,D,-
38,Unemployed,D,D,D,-
39,Unknown,95,38,57,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,33,13,20,-
43,Employment-based preferences,13,8,5,-
44,Immediate relatives of U.S. citizens,174,59,115,-
45,Diversity,6,D,D,-
46,Refugees and asylees,11,D,D,-
47,Other,5,4,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,5,D,D,-
51,Australia,5,D,D,-
52,Austria,D,D,D,-
53,Belarus,6,D,D,-
54,Brazil,6,D,D,-
55,Bulgaria,7,D,D,-
56,China,D,D,D,-
57,El Salvador,4,D,D,-
58,Germany,3,-,3,-
59,Honduras,12,5,7,-
60,Jamaica,7,D,D,-
61,Mexico,100,44,56,-
62,Nepal,9,3,6,-
63,Peru,14,4,10,-
64,Philippines,3,-,3,-
65,Poland,6,D,D,-
66,Romania,3,D,D,-
67,South Africa,5,D,D,-
68,Soviet Union (former),6,D,D,-
69,United Kingdom,6,D,D,-
70,Other,30,14,16,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
