,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,236,129,107,-
6,,,,,
7,New arrivals,122,66,56,-
8,Adjustments of status,114,63,51,-
9,,,,,
10,Age,,,,
11,Under 18 years,34,20,14,-
12,18 to 24 years,43,28,15,-
13,25 to 34 years,67,33,34,-
14,35 to 44 years,33,16,17,-
15,45 to 54 years,30,19,11,-
16,55 to 64 years,19,8,11,-
17,65 years and over,10,5,5,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,154,81,73,-
22,Single,73,D,D,-
23,Other,8,D,D,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",15,10,5,-
28,Service occupations,13,5,8,-
29,Sales and office occupations,9,4,5,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",7,-,7,-
32,"Production, transportation, and material moving occupations",16,3,13,-
33,Military,-,-,-,-
34,No occupation/not working outside home,108,73,35,-
35,Homemakers,36,32,4,-
36,Students or children,46,24,22,-
37,Retirees,-,-,-,-
38,Unemployed,26,17,9,-
39,Unknown,68,34,34,-
40,,,,,
41,Broad class of admission,,,,
42,Immediate relatives of U.S. citizens,148,78,70,-
43,Family-sponsored preferences,55,32,23,-
44,Employment-based preferences,19,12,7,-
45,Diversity,8,D,D,-
46,Refugees and asylees,3,D,D,-
47,Other,3,1,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,4,D,D,-
51,Australia,3,D,D,-
52,Brazil,3,D,D,-
53,Bulgaria,6,D,D,-
54,"China, People's Republic",3,D,D,-
55,Colombia,D,D,-,-
56,El Salvador,5,D,D,-
57,France,D,-,D,-
58,Honduras,6,D,D,-
59,Jamaica,4,D,D,-
60,Macedonia,5,D,D,-
61,Malaysia,D,D,D,-
62,Mauritania,D,-,D,-
63,Mexico,129,71,58,-
64,Nepal,8,4,4,-
65,Peru,7,4,3,-
66,Philippines,4,D,D,-
67,Senegal,4,D,D,-
68,Turkey,4,D,D,-
69,United Kingdom,5,D,D,-
70,Other,28,15,13,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
