,Persons Becoming Legal Permanent Residents During Fiscal Year 2004,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Fort Collins-Loveland, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,401,185,216,-
6,,,,,
7,Age,,,,
8,Under 18 years,86,45,41,-
9,18-24 years,36,14,22,-
10,25-34 years,147,64,83,-
11,35-44 years,80,44,36,-
12,45-54 years,29,8,21,-
13,55-64 years,15,7,8,-
14,65 years and over,8,3,5,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,121,67,54,-
19,Married,267,115,152,-
20,Other,13,3,10,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,24,D,D,-
25,Professional and technical,51,29,22,-
26,Sales,4,D,D,-
27,Administrative support,D,D,-,-
28,"Farming, forestry, fisheries",D,D,-,-
29,"Operators, fabricators, laborers",5,5,-,-
30,"Precision production, craft, repair",3,3,-,-
31,Service,9,4,5,-
32,Military,-,-,-,-
33,No occupation,144,58,86,-
34,Unknown,158,63,95,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,35,14,21,-
38,Employment-based preferences,132,70,62,-
39,Immediate relatives of U.S. citizens,207,84,123,-
40,Diversity programs,21,D,D,-
41,Refugee and asylee adjustments,3,D,D,-
42,Other,3,3,-,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Bangladesh,4,D,D,-
46,Brazil,5,D,D,-
47,Canada,17,8,9,-
48,China,25,12,13,-
49,Costa Rica,6,D,D,-
50,France,5,D,D,-
51,Germany,19,8,11,-
52,India,30,16,14,-
53,Iran,9,5,4,-
54,Japan,12,4,8,-
55,Korea,14,8,6,-
56,Mexico,65,26,39,-
57,Nepal,9,4,5,-
58,Pakistan,5,D,D,-
59,Philippines,11,D,D,-
60,Poland,6,3,3,-
61,South Africa,11,5,6,-
62,Turkey,5,D,D,-
63,United Kingdom,48,26,22,-
64,Vietnam,6,D,D,-
65,Other,88,42,46,-
66,Unknown,1,1,-,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
