,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2010,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins-Loveland, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,452,207,245,-
6,,,,,
7,New arrivals,167,72,95,-
8,Adjustments of status,285,135,150,-
9,,,,,
10,Age,,,,
11,Under 18 years,80,42,38,-
12,18 to 24 years,57,25,32,-
13,25 to 34 years,134,57,77,-
14,35 to 44 years,91,42,49,-
15,45 to 54 years,42,20,22,-
16,55 to 64 years,26,13,13,-
17,65 years and over,22,8,14,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,130,73,57,-
22,Married,300,126,174,-
23,Other,20,6,14,-
24,Unknown,2,2,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",79,53,26,-
28,Service occupations,11,D,D,-
29,Sales and office occupations,13,D,D,-
30,"Farming, fishing, and forestry occupations",3,3,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",11,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,226,78,148,-
35,Homemakers,62,5,57,-
36,Students or children,105,55,50,-
37,Retirees,10,4,6,-
38,Unemployed,49,14,35,-
39,Unknown,109,46,63,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,21,9,12,-
43,Employment-based preferences,147,80,67,-
44,Immediate relatives of U.S. citizens,257,100,157,-
45,Diversity,11,D,D,-
46,Refugees and asylees,10,D,D,-
47,Other,6,4,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,6,D,D,-
51,Brazil,22,10,12,-
52,Canada,13,5,8,-
53,China,47,21,26,-
54,Costa Rica,4,D,D,-
55,Ethiopia,13,7,6,-
56,Germany,16,7,9,-
57,India,44,22,22,-
58,Japan,13,3,10,-
59,Kazakhstan,6,D,D,-
60,"Korea, South",14,7,7,-
61,Mexico,88,40,48,-
62,Pakistan,5,D,D,-
63,Peru,5,D,D,-
64,Philippines,18,4,14,-
65,Romania,6,3,3,-
66,Russia,9,4,5,-
67,South Africa,5,D,D,-
68,United Kingdom,12,D,D,-
69,Venezuela,5,D,D,-
70,Other,100,44,56,-
71,Unknown,1,1,-,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
