,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,282,124,158,-
6,,,,,
7,New arrivals,105,47,58,-
8,Adjustments of status,177,77,100,-
9,,,,,
10,Age,,,,
11,Under 18 years,43,21,22,-
12,18 to 24 years,34,16,18,-
13,25 to 34 years,86,36,50,-
14,35 to 44 years,68,28,40,-
15,45 to 54 years,28,15,13,-
16,55 to 64 years,13,5,8,-
17,65 years and over,10,3,7,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,84,D,D,-
22,Married,182,79,103,-
23,Other,15,D,D,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",46,29,17,-
28,Service occupations,21,D,D,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",9,9,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,107,38,69,-
35,Homemakers,30,D,D,-
36,Students or children,55,30,25,-
37,Retirees,D,D,D,-
38,Unemployed,D,4,D,-
39,Unknown,92,37,55,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,28,10,18,-
43,Employment-based preferences,59,32,27,-
44,Immediate relatives of U.S. citizens,119,48,71,-
45,Diversity,20,12,8,-
46,Refugees and asylees,20,12,8,-
47,Other,36,10,26,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,6,D,D,-
51,Canada,10,5,5,-
52,China,30,12,18,-
53,Dominican Republic,3,D,D,-
54,Egypt,6,D,D,-
55,El Salvador,5,D,D,-
56,Guatemala,6,3,3,-
57,India,24,12,12,-
58,Iran,6,D,D,-
59,Iraq,6,D,D,-
60,"Korea, South",9,5,4,-
61,Libya,9,5,4,-
62,Mexico,67,27,40,-
63,Moldova,6,D,D,-
64,Nepal,8,4,4,-
65,Philippines,7,3,4,-
66,Russia,7,D,D,-
67,Ukraine,5,D,D,-
68,United Kingdom,4,D,D,-
69,Vietnam,8,4,4,-
70,Other,49,22,27,-
71,Unknown,1,1,-,-
72,D Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security.,,,,
