,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,397,212,185,-
6,,,,,
7,New arrivals,180,98,82,-
8,Adjustments of status,217,114,103,-
9,,,,,
10,Age,,,,
11,Under 18 years,66,30,36,-
12,18 to 24 years,43,26,17,-
13,25 to 34 years,111,68,43,-
14,35 to 44 years,100,52,48,-
15,45 to 54 years,39,16,23,-
16,55 to 64 years,22,12,10,-
17,65 years and over,16,8,8,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,256,141,115,-
22,Single,122,58,64,-
23,Other,18,13,5,-
24,Unknown,1,-,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",68,19,49,-
28,Service occupations,9,D,D,-
29,Sales and office occupations,D,D,3,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",7,-,7,-
32,"Production, transportation, and material moving occupations",7,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,148,102,46,-
35,Homemakers,51,D,D,-
36,Students or children,81,42,39,-
37,Retirees,5,D,D,-
38,Unemployed,11,8,3,-
39,Unknown,153,82,71,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,55,29,26,-
43,Employment-based preferences,77,33,44,-
44,Immediate relatives of U.S. citizens,198,117,81,-
45,Diversity,11,4,7,-
46,Refugees and asylees,24,9,15,-
47,Other,32,20,12,-
48,,,,,
49,Leading countries of birth,,,,
50,Belgium,5,D,D,-
51,Brazil,11,5,6,-
52,Canada,25,10,15,-
53,China,32,18,14,-
54,Colombia,7,D,D,-
55,El Salvador,5,D,D,-
56,Germany,6,D,D,-
57,Honduras,5,D,D,-
58,India,22,11,11,-
59,Iraq,15,5,10,-
60,"Korea, South",11,5,6,-
61,Libya,5,D,D,-
62,Mexico,81,47,34,-
63,Nepal,13,7,6,-
64,Philippines,11,6,5,-
65,Russia,5,5,-,-
66,Thailand,5,D,D,-
67,Ukraine,5,D,D,-
68,United Kingdom,15,5,10,-
69,Vietnam,22,12,10,-
70,Other,91,46,45,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
