,Persons Becoming Legal Permanent Residents During Fiscal Year 2005,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,75,32,43,-
6,,,,,
7,Age,,,,
8,Under 18 years,16,8,8,-
9,18-24 years,13,7,6,-
10,25-34 years,14,5,9,-
11,35-44 years,22,7,15,-
12,45-54 years,D,D,D,-
13,55-64 years,-,-,-,-
14,65 years and over,D,D,D,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,D,16,D,-
19,Married,40,16,24,-
20,Other,D,-,D,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,D,-,D,-
25,Professional and technical,-,-,-,-
26,Sales,-,-,-,-
27,Administrative support,-,-,-,-
28,"Farming, forestry, fisheries",D,D,-,-
29,"Operators, fabricators, laborers",D,D,D,-
30,"Precision production, craft, repair",D,D,-,-
31,Service,-,-,-,-
32,Military,-,-,-,-
33,No occupation,25,9,16,-
34,Unknown,43,19,24,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,32,13,19,-
38,Employment-based preferences,D,D,D,-
39,Immediate relatives of U.S. citizens,D,D,D,-
40,Diversity programs,-,-,-,-
41,Refugee and asylee adjustments,-,-,-,-
42,Other,17,6,11,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Argentina,D,D,-,-
46,Bolivia,D,-,D,-
47,Cambodia,D,-,D,-
48,Canada,D,D,-,-
49,China,D,D,-,-
50,Dominican Republic,D,-,D,-
51,El Salvador,D,D,D,-
52,Guatemala,14,D,D,-
53,Honduras,D,D,-,-
54,Mexico,48,20,28,-
55,Nicaragua,D,D,-,-
56,Philippines,D,D,-,-
57,United Kingdom,D,-,D,-
58,,,,,
59,- Represents zero,,,,
60,D  Data withheld to limit disclosure.,,,,
