,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2006,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,95,42,53,-
6,,,,,
7,New arrivals,24,11,13,-
8,Adjustments of status,71,31,40,-
9,,,,,
10,Age,,,,
11,Under 18 years,20,8,12,-
12,18 to 24 years,14,8,6,-
13,25 to 34 years,23,7,16,-
14,35 to 44 years,20,12,8,-
15,45 to 54 years,4,D,D,-
16,55 to 64 years,8,4,4,-
17,65 years and over,6,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,44,D,D,-
22,Married,47,21,26,-
23,Other,4,D,D,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",3,D,D,-
28,Service occupations,D,D,D,-
29,Sales and office occupations,D,D,D,-
30,"Farming, fishing, and forestry occupations",3,3,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",6,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,34,9,25,-
35,Homemakers,10,-,10,-
36,Students or children,19,D,D,-
37,Retirees,-,-,-,-
38,Unemployed,5,D,D,-
39,Unknown,45,22,23,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,27,D,D,-
43,Employment-based preferences,D,D,D,-
44,Immediate relatives of U.S. citizens,42,18,24,-
45,Diversity,-,-,-,-
46,Refugees and asylees,D,-,D,-
47,Other,21,15,6,-
48,,,,,
49,Leading countries of birth,,,,
50,China,D,D,D,-
51,Egypt,D,-,D,-
52,El Salvador,3,D,D,-
53,Guatemala,23,D,D,-
54,Mexico,60,21,39,-
55,Philippines,3,D,D,-
56,Soviet Union (former),D,-,D,-
57,United Kingdom,D,D,-,-
58,Vietnam,D,-,D,-
59,D  Data withheld to limit disclosure.,,,,
60,- Represents zero.,,,,
61,Source: U.S. Department of Homeland Security,,,,
