,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,246,138,108,-
6,,,,,
7,New arrivals,39,18,21,-
8,Adjustments of status,207,120,87,-
9,,,,,
10,Age,,,,
11,Under 18 years,48,23,25,-
12,18 to 24 years,68,40,28,-
13,25 to 34 years,72,48,24,-
14,35 to 44 years,25,15,10,-
15,45 to 54 years,16,7,9,-
16,55 to 64 years,8,D,D,-
17,65 years and over,9,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,134,88,46,-
22,Married,92,43,49,-
23,Other,16,6,10,-
24,Unknown,4,1,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",16,D,D,-
28,Service occupations,15,D,D,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",27,18,9,-
33,Military,-,-,-,-
34,No occupation/not working outside home,86,38,48,-
35,Homemakers,20,D,D,-
36,Students or children,58,31,27,-
37,Retirees,-,-,-,-
38,Unemployed,8,D,D,-
39,Unknown,99,55,44,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,19,9,10,-
43,Employment-based preferences,D,D,3,-
44,Immediate relatives of U.S. citizens,40,17,23,-
45,Diversity,D,D,-,-
46,Refugees and asylees,178,107,71,-
47,Other,3,2,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Burundi,D,-,D,-
51,Central African Republic,D,-,D,-
52,China,D,-,D,-
53,"Congo, Democratic Republic of the",6,D,D,-
54,Cote d'Ivoire,D,-,D,-
55,Djibouti,D,-,D,-
56,Eritrea,7,4,3,-
57,Ethiopia,22,12,10,-
58,Germany,D,-,D,-
59,Guatemala,4,D,D,-
60,Honduras,D,-,D,-
61,Iraq,D,D,-,-
62,Kenya,23,14,9,-
63,Mexico,49,24,25,-
64,Netherlands,D,D,D,-
65,Philippines,5,D,D,-
66,Rwanda,3,3,-,-
67,Somalia,110,67,43,-
68,Sudan,4,D,D,-
69,Tanzania,D,-,D,-
70,Other,1,-,1,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
