,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,218,98,120,-
6,,,,,
7,New arrivals,74,39,35,-
8,Adjustments of status,144,59,85,-
9,,,,,
10,Age,,,,
11,Under 18 years,52,26,26,-
12,18 to 24 years,35,22,13,-
13,25 to 34 years,69,23,46,-
14,35 to 44 years,24,8,16,-
15,45 to 54 years,19,9,10,-
16,55 to 64 years,10,5,5,-
17,65 years and over,9,5,4,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,88,42,46,-
22,Single,116,49,67,-
23,Other,14,7,7,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",6,D,D,-
28,Service occupations,9,D,D,-
29,Sales and office occupations,D,D,-,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",D,-,D,-
32,"Production, transportation, and material moving occupations",35,10,25,-
33,Military,-,-,-,-
34,No occupation/not working outside home,92,55,37,-
35,Homemakers,20,D,D,-
36,Students or children,63,32,31,-
37,Retirees,-,-,-,-
38,Unemployed,9,D,D,-
39,Unknown,72,28,44,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,18,12,6,-
43,Employment-based preferences,-,-,-,-
44,Immediate relatives of U.S. citizens,65,32,33,-
45,Diversity,15,7,8,-
46,Refugees and asylees,120,47,73,-
47,Other,-,-,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Burundi,D,D,-,-
51,"Congo, Democratic Republic",18,9,9,-
52,Cuba,D,D,D,-
53,El Salvador,4,D,D,-
54,Eritrea,4,D,D,-
55,Ethiopia,32,13,19,-
56,Guatemala,5,D,D,-
57,Indonesia,D,D,-,-
58,Kazakhstan,D,D,D,-
59,Kenya,16,11,5,-
60,Malawi,D,-,D,-
61,Mexico,55,29,26,-
62,Philippines,D,-,D,-
63,Rwanda,3,D,D,-
64,Somalia,68,22,46,-
65,Sudan,D,-,D,-
66,Uganda,D,D,-,-
67,Ukraine,3,D,D,-
68,D Data withheld to limit disclosure.,,,,
69,- Represents zero.,,,,
70,Source: U.S. Department of Homeland Security.,,,,
