,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Glenwood Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,319,185,134,-
6,,,,,
7,New arrivals,127,63,64,-
8,Adjustments of status,192,122,70,-
9,,,,,
10,Age,,,,
11,Under 18 years,34,14,20,-
12,18 to 24 years,51,24,27,-
13,25 to 34 years,84,53,31,-
14,35 to 44 years,73,43,30,-
15,45 to 54 years,46,30,16,-
16,55 to 64 years,24,17,7,-
17,65 years and over,7,4,3,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,203,122,81,-
22,Single,86,43,43,-
23,Other,29,19,10,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",14,D,D,-
28,Service occupations,9,D,D,-
29,Sales and office occupations,D,4,D,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",7,-,7,-
32,"Production, transportation, and material moving occupations",24,5,19,-
33,Military,-,-,-,-
34,No occupation/not working outside home,122,77,45,-
35,Homemakers,47,D,D,-
36,Students or children,53,21,32,-
37,Retirees,D,D,D,-
38,Unemployed,D,D,9,-
39,Unknown,137,86,51,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,50,22,28,-
43,Employment-based preferences,14,6,8,-
44,Immediate relatives of U.S. citizens,177,105,72,-
45,Diversity,5,D,D,-
46,Refugees and asylees,8,D,D,-
47,Other,65,45,20,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,6,3,3,-
51,Australia,4,D,D,-
52,Belize,D,D,D,-
53,Brazil,3,D,D,-
54,Bulgaria,D,D,-,-
55,Canada,7,4,3,-
56,"China, People's Republic",3,D,D,-
57,Denmark,4,D,D,-
58,El Salvador,23,14,9,-
59,Guatemala,4,D,D,-
60,Honduras,4,D,D,-
61,Indonesia,5,D,D,-
62,Jamaica,5,D,D,-
63,Mexico,191,115,76,-
64,Moldova,6,3,3,-
65,Nepal,4,D,D,-
66,Peru,4,D,D,-
67,Serbia,5,D,D,-
68,United Kingdom,3,-,3,-
69,Vietnam,5,D,D,-
70,Other,29,17,12,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
