,Persons Becoming Legal Permanent Residents During Fiscal Year 2004,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,116,45,71,-
6,,,,,
7,Age,,,,
8,Under 18 years,33,14,19,-
9,18-24 years,9,D,D,-
10,25-34 years,35,12,23,-
11,35-44 years,31,11,20,-
12,45-54 years,5,D,D,-
13,55-64 years,D,D,-,-
14,65 years and over,D,-,D,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,42,D,D,-
19,Married,71,26,45,-
20,Other,3,D,D,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,D,D,D,-
25,Professional and technical,6,3,3,-
26,Sales,3,-,3,-
27,Administrative support,-,-,-,-
28,"Farming, forestry, fisheries",D,D,-,-
29,"Operators, fabricators, laborers",4,4,-,-
30,"Precision production, craft, repair",D,D,-,-
31,Service,4,D,D,-
32,Military,-,-,-,-
33,No occupation,44,15,29,-
34,Unknown,50,17,33,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,27,8,19,-
38,Employment-based preferences,11,D,D,-
39,Immediate relatives of U.S. citizens,71,28,43,-
40,Diversity programs,3,D,D,-
41,Refugee and asylee adjustments,-,-,-,-
42,Other,4,2,2,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Argentina,3,D,D,-
46,Brazil,D,-,D,-
47,Cambodia,D,-,D,-
48,Canada,8,3,5,-
49,Chile,D,-,D,-
50,China,D,D,-,-
51,Colombia,D,-,D,-
52,Dominican Republic,D,-,D,-
53,Guatemala,D,D,D,-
54,Honduras,3,D,D,-
55,Japan,D,-,D,-
56,Korea,3,D,D,-
57,Mexico,46,16,30,-
58,Peru,D,D,D,-
59,Philippines,14,4,10,-
60,Russia,D,D,D,-
61,Thailand,D,-,D,-
62,Ukraine,D,-,D,-
63,United Kingdom,D,D,-,-
64,Uzbekistan,3,D,D,-
65,Other,14,7,7,-
66,Unknown,1,1,-,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
