,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2010,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,121,52,69,-
6,,,,,
7,New arrivals,51,23,28,-
8,Adjustments of status,70,29,41,-
9,,,,,
10,Age,,,,
11,Under 18 years,24,14,10,-
12,18 to 24 years,21,10,11,-
13,25 to 34 years,23,12,11,-
14,35 to 44 years,19,6,13,-
15,45 to 54 years,18,7,11,-
16,55 to 64 years,10,D,D,-
17,65 years and over,6,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,38,D,D,-
22,Married,75,27,48,-
23,Other,6,D,D,-
24,Unknown,2,1,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",12,7,5,-
28,Service occupations,7,3,4,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",9,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,55,20,35,-
35,Homemakers,D,-,D,-
36,Students or children,27,D,D,-
37,Retirees,D,-,D,-
38,Unemployed,14,D,D,-
39,Unknown,33,13,20,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,D,D,9,-
43,Employment-based preferences,16,9,7,-
44,Immediate relatives of U.S. citizens,86,34,52,-
45,Diversity,D,D,-,-
46,Refugees and asylees,D,D,-,-
47,Other,1,-,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Algeria,D,D,-,-
51,Argentina,D,-,D,-
52,Belgium,D,-,D,-
53,Brazil,D,-,D,-
54,Bulgaria,D,D,-,-
55,Cambodia,D,-,D,-
56,Canada,13,8,5,-
57,Chile,D,D,D,-
58,China,7,3,4,-
59,Colombia,D,-,D,-
60,"Congo, Republic of the",D,-,D,-
61,Ethiopia,D,D,-,-
62,Jamaica,D,-,D,-
63,Japan,3,-,3,-
64,Mexico,49,21,28,-
65,Nepal,5,D,D,-
66,Philippines,4,D,D,-
67,Russia,D,D,D,-
68,United Kingdom,4,D,D,-
69,Vietnam,7,3,4,-
70,Other,13,5,8,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
