,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,96,55,41,-
6,,,,,
7,New arrivals,63,35,28,-
8,Adjustments of status,33,20,13,-
9,,,,,
10,Age,,,,
11,Under 18 years,25,17,8,-
12,18 to 24 years,4,D,D,-
13,25 to 34 years,30,15,15,-
14,35 to 44 years,16,8,8,-
15,45 to 54 years,8,D,D,-
16,55 to 64 years,7,4,3,-
17,65 years and over,6,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,33,D,D,-
22,Married,60,32,28,-
23,Other,3,D,D,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",7,D,D,-
28,Service occupations,5,D,D,-
29,Sales and office occupations,D,D,-,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",7,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,48,21,27,-
35,Homemakers,14,D,D,-
36,Students or children,27,18,9,-
37,Retirees,-,-,-,-
38,Unemployed,7,D,D,-
39,Unknown,25,17,8,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,10,5,5,-
43,Employment-based preferences,7,D,D,-
44,Immediate relatives of U.S. citizens,64,35,29,-
45,Diversity,D,D,-,-
46,Refugees and asylees,D,-,D,-
47,Other,10,8,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,9,D,D,-
51,Algeria,D,D,-,-
52,Argentina,D,D,-,-
53,Australia,D,D,-,-
54,Botswana,D,D,-,-
55,Bulgaria,3,3,-,-
56,Cambodia,3,-,3,-
57,Canada,3,D,D,-
58,Chile,D,D,-,-
59,China,D,D,-,-
60,Colombia,D,-,D,-
61,"Congo, Democratic Republic of the",D,D,D,-
62,Ghana,D,-,D,-
63,Haiti,D,-,D,-
64,Mexico,40,24,16,-
65,Nepal,D,D,D,-
66,Nigeria,4,D,D,-
67,Peru,D,D,D,-
68,Philippines,7,3,4,-
69,Russia,3,D,D,-
70,Other,6,3,3,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
