,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2006,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,503,214,289,-
6,,,,,
7,New arrivals,155,68,87,-
8,Adjustments of status,348,146,202,-
9,,,,,
10,Age,,,,
11,Under 18 years,109,48,61,-
12,18 to 24 years,67,32,35,-
13,25 to 34 years,119,52,67,-
14,35 to 44 years,93,35,58,-
15,45 to 54 years,51,17,34,-
16,55 to 64 years,34,14,20,-
17,65 years and over,30,16,14,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,170,86,84,-
22,Married,315,124,191,-
23,Other,15,3,12,-
24,Unknown,3,1,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",19,13,6,-
28,Service occupations,9,5,4,-
29,Sales and office occupations,D,D,D,-
30,"Farming, fishing, and forestry occupations",17,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",21,16,5,-
33,Military,-,-,-,-
34,No occupation/not working outside home,241,70,171,-
35,Homemakers,87,D,D,-
36,Students or children,111,49,62,-
37,Retirees,6,D,D,-
38,Unemployed,37,16,21,-
39,Unknown,187,88,99,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,142,55,87,-
43,Employment-based preferences,35,21,14,-
44,Immediate relatives of U.S. citizens,295,117,178,-
45,Diversity,3,D,D,-
46,Refugees and asylees,8,D,D,-
47,Other,20,16,4,-
48,,,,,
49,Leading countries of birth,,,,
50,Cambodia,4,D,D,-
51,Canada,13,4,9,-
52,China,20,5,15,-
53,Colombia,7,D,D,-
54,El Salvador,8,D,D,-
55,Germany,3,D,D,-
56,Guatemala,18,13,5,-
57,Honduras,3,D,D,-
58,India,4,D,D,-
59,Iran,7,3,4,-
60,Korea,4,-,4,-
61,Mexico,318,132,186,-
62,Philippines,9,D,D,-
63,Soviet Union (former),4,D,D,-
64,Thailand,8,D,D,-
65,Tunisia,4,D,D,-
66,Ukraine,4,4,-,-
67,United Kingdom,8,5,3,-
68,Venezuela,4,D,D,-
69,Vietnam,4,D,D,-
70,Other,49,21,28,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
