,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2008,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,609,281,328,-
6,,,,,
7,New arrivals,271,122,149,-
8,Adjustments of status,338,159,179,-
9,,,,,
10,Age,,,,
11,Under 18 years,118,70,48,-
12,18 to 24 years,110,62,48,-
13,25 to 34 years,126,56,70,-
14,35 to 44 years,100,40,60,-
15,45 to 54 years,61,16,45,-
16,55 to 64 years,55,19,36,-
17,65 years and over,39,18,21,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,205,123,82,-
22,Married,367,149,218,-
23,Other,29,5,24,-
24,Unknown,8,4,4,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",18,14,4,-
28,Service occupations,16,8,8,-
29,Sales and office occupations,D,D,8,-
30,"Farming, fishing, and forestry occupations",25,21,4,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",52,43,9,-
33,Military,-,-,-,-
34,No occupation/not working outside home,332,108,224,-
35,Homemakers,149,D,D,-
36,Students or children,145,87,58,-
37,Retirees,D,D,-,-
38,Unemployed,D,D,D,-
39,Unknown,152,81,71,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,187,85,102,-
43,Employment-based preferences,44,26,18,-
44,Immediate relatives of U.S. citizens,334,145,189,-
45,Diversity,5,D,D,-
46,Refugees and asylees,21,D,D,-
47,Other,18,9,9,-
48,,,,,
49,Leading countries of birth,,,,
50,Bolivia,D,D,D,-
51,Cambodia,17,9,8,-
52,Canada,14,8,6,-
53,China,27,5,22,-
54,Djibouti,D,D,D,-
55,Ecuador,4,D,D,-
56,El Salvador,3,-,3,-
57,Ethiopia,3,D,D,-
58,France,4,D,D,-
59,Guatemala,13,8,5,-
60,India,6,D,D,-
61,Korea,6,3,3,-
62,Mexico,413,189,224,-
63,Philippines,9,D,D,-
64,Russia,7,D,D,-
65,Somalia,11,8,3,-
66,Taiwan,5,D,D,-
67,United Kingdom,10,D,D,-
68,Uzbekistan,4,D,D,-
69,Vietnam,4,D,D,-
70,Other,44,21,23,-
71,Unknown,1,1,-,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
