,Persons Becoming Legal Permanent Residents During Fiscal Year 2003,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,99,52,47,-
6,,,,,
7,Age,,,,
8,Under 18 years,18,8,10,-
9,18-24 years,15,10,5,-
10,25-34 years,37,21,16,-
11,35-44 years,13,8,5,-
12,45-54 years,8,D,D,-
13,55-64 years,D,D,D,-
14,65 years and over,D,-,D,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,28,12,16,-
19,Married,66,40,26,-
20,Other,5,-,5,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,D,D,-,-
25,Professional and technical,3,D,D,-
26,Sales,-,-,-,-
27,Administrative support,D,D,D,-
28,"Farming, forestry, fisheries",-,-,-,-
29,"Operators, fabricators, laborers",D,-,D,-
30,"Precision production, craft, repair",-,-,-,-
31,Service,-,-,-,-
32,Military,-,-,-,-
33,No occupation,37,D,D,-
34,Unknown,55,32,23,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,8,D,D,-
38,Employment-based preferences,4,D,D,-
39,Immediate relatives of U.S. citizens,80,47,33,-
40,Diversity programs,6,D,D,-
41,Refugee and asylee adjustments,-,-,-,-
42,Other,1,-,1,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Australia,D,-,D,-
46,Cambodia,D,D,D,-
47,Canada,D,-,D,-
48,China,3,-,3,-
49,"Congo, Republic of the",D,D,-,-
50,Ecuador,D,D,-,-
51,Ethiopia,D,-,D,-
52,Germany,D,-,D,-
53,Guatemala,D,D,-,-
54,Iran,6,3,3,-
55,Italy,D,D,D,-
56,Japan,D,-,D,-
57,Jordan,D,D,-,-
58,Kazakhstan,D,-,D,-
59,Korea,D,D,-,-
60,Mexico,47,31,16,-
61,Pakistan,D,-,D,-
62,Philippines,6,D,D,-
63,Ukraine,4,D,D,-
64,Venezuela,3,D,D,-
65,Other,8,4,4,-
66,Unknown,1,1,-,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
