,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2007,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,110,46,64,-
6,,,,,
7,New arrivals,57,22,35,-
8,Adjustments of status,53,24,29,-
9,,,,,
10,Age,,,,
11,Under 18 years,27,11,16,-
12,18 to 24 years,13,7,6,-
13,25 to 34 years,24,10,14,-
14,35 to 44 years,15,5,10,-
15,45 to 54 years,14,7,7,-
16,55 to 64 years,10,D,D,-
17,65 years and over,7,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,37,20,17,-
22,Married,67,26,41,-
23,Other,6,-,6,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",6,6,-,-
28,Service occupations,3,D,D,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",3,3,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",3,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,63,D,D,-
35,Homemakers,26,-,26,-
36,Students or children,30,D,D,-
37,Retirees,D,D,-,-
38,Unemployed,D,D,D,-
39,Unknown,29,12,17,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,11,D,D,-
43,Employment-based preferences,17,8,9,-
44,Immediate relatives of U.S. citizens,79,32,47,-
45,Diversity,-,-,-,-
46,Refugees and asylees,3,D,D,-
47,Other,-,-,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,D,-,D,-
51,Canada,6,D,D,-
52,China,8,4,4,-
53,Colombia,D,D,-,-
54,Costa Rica,D,-,D,-
55,Cuba,D,-,D,-
56,Ecuador,D,-,D,-
57,Germany,5,D,D,-
58,Guatemala,4,D,D,-
59,India,4,D,D,-
60,Iran,3,-,3,-
61,Korea,4,D,D,-
62,Lebanon,D,D,D,-
63,Mexico,38,17,21,-
64,New Zealand,D,D,D,-
65,Peru,D,D,D,-
66,Philippines,9,D,D,-
67,United Kingdom,4,4,-,-
68,Vietnam,7,D,D,-
69,Other,7,1,6,-
70,D  Data withheld to limit disclosure.,,,,
71,- Represents zero.,,,,
72,Source: U.S. Department of Homeland Security,,,,
