,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,81,39,42,-
6,,,,,
7,New arrivals,45,23,22,-
8,Adjustments of status,36,16,20,-
9,,,,,
10,Age,,,,
11,Under 18 years,9,4,5,-
12,18 to 24 years,15,9,6,-
13,25 to 34 years,13,6,7,-
14,35 to 44 years,17,6,11,-
15,45 to 54 years,18,10,8,-
16,55 to 64 years,5,D,D,-
17,65 years and over,4,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,27,D,D,-
22,Married,49,22,27,-
23,Other,5,D,D,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",15,12,3,-
28,Service occupations,4,D,D,-
29,Sales and office occupations,D,D,D,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",D,D,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,34,11,23,-
35,Homemakers,16,D,D,-
36,Students or children,14,D,D,-
37,Retirees,-,-,-,-
38,Unemployed,4,D,D,-
39,Unknown,23,10,13,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,14,7,7,-
43,Employment-based preferences,11,D,D,-
44,Immediate relatives of U.S. citizens,46,19,27,-
45,Diversity,D,D,D,-
46,Refugees and asylees,D,D,-,-
47,Other,4,1,3,-
48,,,,,
49,Leading countries of birth,,,,
50,Angola,D,-,D,-
51,Belgium,D,D,D,-
52,Brazil,D,D,D,-
53,Canada,3,D,D,-
54,China,5,D,D,-
55,Colombia,D,-,D,-
56,Costa Rica,D,D,D,-
57,Eritrea,D,D,-,-
58,Germany,D,-,D,-
59,Haiti,D,D,-,-
60,India,D,D,D,-
61,Indonesia,6,D,D,-
62,Iran,D,-,D,-
63,Israel,D,-,D,-
64,Mexico,27,10,17,-
65,Philippines,4,D,D,-
66,Russia,D,-,D,-
67,Switzerland,4,D,D,-
68,United Kingdom,3,D,D,-
69,Vietnam,D,D,D,-
70,Other,8,6,2,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
