,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,96,60,36,-
6,,,,,
7,New arrivals,48,28,20,-
8,Adjustments of status,48,32,16,-
9,,,,,
10,Age,,,,
11,Under 18 years,10,6,4,-
12,18 to 24 years,9,D,D,-
13,25 to 34 years,30,10,20,-
14,35 to 44 years,17,13,4,-
15,45 to 54 years,14,11,3,-
16,55 to 64 years,9,D,D,-
17,65 years and over,7,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,62,39,23,-
22,Single,26,14,12,-
23,Other,7,7,-,-
24,Unknown,1,-,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",13,D,D,-
28,Service occupations,D,D,D,-
29,Sales and office occupations,D,D,-,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",8,D,D,-
32,"Production, transportation, and material moving occupations",D,-,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,38,30,8,-
35,Homemakers,20,D,D,-
36,Students or children,12,7,5,-
37,Retirees,-,-,-,-
38,Unemployed,6,D,D,-
39,Unknown,31,22,9,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,19,8,11,-
43,Employment-based preferences,D,D,D,-
44,Immediate relatives of U.S. citizens,59,41,18,-
45,Diversity,D,D,-,-
46,Refugees and asylees,D,-,D,-
47,Other,6,4,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,D,D,D,-
51,Australia,D,D,-,-
52,Cambodia,4,D,D,-
53,Chile,D,-,D,-
54,Eritrea,D,-,D,-
55,Germany,D,-,D,-
56,Honduras,D,-,D,-
57,India,D,-,D,-
58,Indonesia,D,D,-,-
59,Jamaica,D,D,D,-
60,Jordan,D,D,D,-
61,Kazakhstan,D,D,-,-
62,"Korea, South",D,D,-,-
63,Mexico,54,34,20,-
64,Nigeria,D,-,D,-
65,Pakistan,D,D,D,-
66,Peru,D,D,-,-
67,Philippines,9,D,D,-
68,Turkey,D,D,D,-
69,Vietnam,D,D,D,-
70,Other,4,4,-,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
