state,year,statetotal,origin,stateorigin,city,people,annualtotal
Colorado,2009,1735,Afghanistan,1,Colorado Springs,0,74654
Colorado,2010,1969,Afghanistan,4,Colorado Springs,0,73309
Colorado,2011,1557,Afghanistan,1,Colorado Springs,0,56424
Colorado,2012,1458,Afghanistan,0,Colorado Springs,0,58238
Colorado,2013,1789,Afghanistan,14,Colorado Springs,1,69926
Colorado,2014,1813,Afghanistan,10,Colorado Springs,1,69987
Colorado,2015,1730,Afghanistan,28,Colorado Springs,10,69933
Colorado,2016,1647,Afghanistan,14,Colorado Springs,0,84994
Colorado,2017,1144,Afghanistan,49,Colorado Springs,0,53716
Colorado,2018,486,Afghanistan,20,Colorado Springs,0,22491
Colorado,2009,1735,Afghanistan,1,Commerce City,0,74654
Colorado,2010,1969,Afghanistan,4,Commerce City,1,73309
Colorado,2011,1557,Afghanistan,1,Commerce City,0,56424
Colorado,2012,1458,Afghanistan,0,Commerce City,0,58238
Colorado,2013,1789,Afghanistan,14,Commerce City,0,69926
Colorado,2014,1813,Afghanistan,10,Commerce City,0,69987
Colorado,2015,1730,Afghanistan,28,Commerce City,0,69933
Colorado,2016,1647,Afghanistan,14,Commerce City,0,84994
Colorado,2017,1144,Afghanistan,49,Commerce City,0,53716
Colorado,2018,486,Afghanistan,20,Commerce City,0,22491
Colorado,2009,1735,Afghanistan,1,Denver,1,74654
Colorado,2010,1969,Afghanistan,4,Denver,1,73309
Colorado,2011,1557,Afghanistan,1,Denver,1,56424
Colorado,2012,1458,Afghanistan,0,Denver,0,58238
Colorado,2013,1789,Afghanistan,14,Denver,9,69926
Colorado,2014,1813,Afghanistan,10,Denver,9,69987
Colorado,2015,1730,Afghanistan,28,Denver,18,69933
Colorado,2016,1647,Afghanistan,14,Denver,14,84994
Colorado,2017,1144,Afghanistan,49,Denver,42,53716
Colorado,2018,486,Afghanistan,20,Denver,14,22491
Colorado,2009,1735,Afghanistan,1,Henderson,0,74654
Colorado,2010,1969,Afghanistan,4,Henderson,0,73309
Colorado,2011,1557,Afghanistan,1,Henderson,0,56424
Colorado,2012,1458,Afghanistan,0,Henderson,0,58238
Colorado,2013,1789,Afghanistan,14,Henderson,4,69926
Colorado,2014,1813,Afghanistan,10,Henderson,0,69987
Colorado,2015,1730,Afghanistan,28,Henderson,0,69933
Colorado,2016,1647,Afghanistan,14,Henderson,0,84994
Colorado,2017,1144,Afghanistan,49,Henderson,0,53716
Colorado,2018,486,Afghanistan,20,Henderson,0,22491
Colorado,2009,1735,Afghanistan,1,Highlands Ranch,0,74654
Colorado,2010,1969,Afghanistan,4,Highlands Ranch,0,73309
Colorado,2011,1557,Afghanistan,1,Highlands Ranch,0,56424
Colorado,2012,1458,Afghanistan,0,Highlands Ranch,0,58238
Colorado,2013,1789,Afghanistan,14,Highlands Ranch,0,69926
Colorado,2014,1813,Afghanistan,10,Highlands Ranch,0,69987
Colorado,2015,1730,Afghanistan,28,Highlands Ranch,0,69933
Colorado,2016,1647,Afghanistan,14,Highlands Ranch,0,84994
Colorado,2017,1144,Afghanistan,49,Highlands Ranch,7,53716
Colorado,2018,486,Afghanistan,20,Highlands Ranch,0,22491
Colorado,2009,1735,Afghanistan,1,Lakewood,0,74654
Colorado,2010,1969,Afghanistan,4,Lakewood,0,73309
Colorado,2011,1557,Afghanistan,1,Lakewood,0,56424
Colorado,2012,1458,Afghanistan,0,Lakewood,0,58238
Colorado,2013,1789,Afghanistan,14,Lakewood,0,69926
Colorado,2014,1813,Afghanistan,10,Lakewood,0,69987
Colorado,2015,1730,Afghanistan,28,Lakewood,0,69933
Colorado,2016,1647,Afghanistan,14,Lakewood,0,84994
Colorado,2017,1144,Afghanistan,49,Lakewood,0,53716
Colorado,2018,486,Afghanistan,20,Lakewood,6,22491
Colorado,2009,1735,Afghanistan,1,Thornton,0,74654
Colorado,2010,1969,Afghanistan,4,Thornton,2,73309
Colorado,2011,1557,Afghanistan,1,Thornton,0,56424
Colorado,2012,1458,Afghanistan,0,Thornton,0,58238
Colorado,2013,1789,Afghanistan,14,Thornton,0,69926
Colorado,2014,1813,Afghanistan,10,Thornton,0,69987
Colorado,2015,1730,Afghanistan,28,Thornton,0,69933
Colorado,2016,1647,Afghanistan,14,Thornton,0,84994
Colorado,2017,1144,Afghanistan,49,Thornton,0,53716
Colorado,2018,486,Afghanistan,20,Thornton,0,22491
Colorado,2009,1735,Armenia,0,Denver,0,74654
Colorado,2010,1969,Armenia,0,Denver,0,73309
Colorado,2011,1557,Armenia,0,Denver,0,56424
Colorado,2012,1458,Armenia,0,Denver,0,58238
Colorado,2013,1789,Armenia,0,Denver,0,69926
Colorado,2014,1813,Armenia,0,Denver,0,69987
Colorado,2015,1730,Armenia,0,Denver,0,69933
Colorado,2016,1647,Armenia,5,Denver,5,84994
Colorado,2017,1144,Armenia,0,Denver,0,53716
Colorado,2018,486,Armenia,0,Denver,0,22491
Colorado,2009,1735,Bangladesh,0,Denver,0,74654
Colorado,2010,1969,Bangladesh,0,Denver,0,73309
Colorado,2011,1557,Bangladesh,0,Denver,0,56424
Colorado,2012,1458,Bangladesh,0,Denver,0,58238
Colorado,2013,1789,Bangladesh,0,Denver,0,69926
Colorado,2014,1813,Bangladesh,2,Denver,2,69987
Colorado,2015,1730,Bangladesh,0,Denver,0,69933
Colorado,2016,1647,Bangladesh,0,Denver,0,84994
Colorado,2017,1144,Bangladesh,3,Denver,1,53716
Colorado,2018,486,Bangladesh,2,Denver,2,22491
Colorado,2009,1735,Bangladesh,0,Greeley,0,74654
Colorado,2010,1969,Bangladesh,0,Greeley,0,73309
Colorado,2011,1557,Bangladesh,0,Greeley,0,56424
Colorado,2012,1458,Bangladesh,0,Greeley,0,58238
Colorado,2013,1789,Bangladesh,0,Greeley,0,69926
Colorado,2014,1813,Bangladesh,2,Greeley,0,69987
Colorado,2015,1730,Bangladesh,0,Greeley,0,69933
Colorado,2016,1647,Bangladesh,0,Greeley,0,84994
Colorado,2017,1144,Bangladesh,3,Greeley,2,53716
Colorado,2018,486,Bangladesh,2,Greeley,0,22491
Colorado,2009,1735,Belarus,1,Denver,1,74654
Colorado,2010,1969,Belarus,0,Denver,0,73309
Colorado,2011,1557,Belarus,0,Denver,0,56424
Colorado,2012,1458,Belarus,5,Denver,5,58238
Colorado,2013,1789,Belarus,0,Denver,0,69926
Colorado,2014,1813,Belarus,0,Denver,0,69987
Colorado,2015,1730,Belarus,9,Denver,9,69933
Colorado,2016,1647,Belarus,15,Denver,15,84994
Colorado,2017,1144,Belarus,0,Denver,0,53716
Colorado,2018,486,Belarus,0,Denver,0,22491
Colorado,2009,1735,Bhutan,588,Aurora,54,74654
Colorado,2010,1969,Bhutan,565,Aurora,66,73309
Colorado,2011,1557,Bhutan,592,Aurora,69,56424
Colorado,2012,1458,Bhutan,540,Aurora,159,58238
Colorado,2013,1789,Bhutan,258,Aurora,70,69926
Colorado,2014,1813,Bhutan,225,Aurora,65,69987
Colorado,2015,1730,Bhutan,181,Aurora,34,69933
Colorado,2016,1647,Bhutan,170,Aurora,24,84994
Colorado,2017,1144,Bhutan,80,Aurora,3,53716
Colorado,2018,486,Bhutan,31,Aurora,7,22491
Colorado,2009,1735,Bhutan,588,Colorado Springs,61,74654
Colorado,2010,1969,Bhutan,565,Colorado Springs,47,73309
Colorado,2011,1557,Bhutan,592,Colorado Springs,52,56424
Colorado,2012,1458,Bhutan,540,Colorado Springs,39,58238
Colorado,2013,1789,Bhutan,258,Colorado Springs,14,69926
Colorado,2014,1813,Bhutan,225,Colorado Springs,9,69987
Colorado,2015,1730,Bhutan,181,Colorado Springs,1,69933
Colorado,2016,1647,Bhutan,170,Colorado Springs,0,84994
Colorado,2017,1144,Bhutan,80,Colorado Springs,0,53716
Colorado,2018,486,Bhutan,31,Colorado Springs,0,22491
Colorado,2009,1735,Bhutan,588,Denver,463,74654
Colorado,2010,1969,Bhutan,565,Denver,445,73309
Colorado,2011,1557,Bhutan,592,Denver,462,56424
Colorado,2012,1458,Bhutan,540,Denver,339,58238
Colorado,2013,1789,Bhutan,258,Denver,174,69926
Colorado,2014,1813,Bhutan,225,Denver,151,69987
Colorado,2015,1730,Bhutan,181,Denver,146,69933
