state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average
Indiana,Indianapolis,Burma,842,759,866,946,1157,1083,1149,962,368,202,943.8,-78.6
California,Glendale,Iran,1889,835,385,168,359,843,934,1244,707,11,817.4,-98.65
California,San Diego,Iraq,371,543,392,486,557,853,687,644,508,4,649.8,-99.38
California,El Cajon,Iraq,2645,1955,945,1276,1450,962,342,229,155,5,627.6,-99.2
Wisconsin,Milwaukee,Burma,318,341,420,349,442,499,877,867,396,257,616.2,-58.29
Texas,Houston,Iraq,390,447,223,345,634,847,625,463,321,6,578,-98.96
Texas,Dallas,Burma,758,560,509,452,483,579,778,557,251,147,529.6,-72.24
Michigan,Troy,Iraq,71,36,73,45,182,1111,470,377,268,2,481.6,-99.58
Minnesota,Minneapolis,Somalia,75,216,129,260,384,461,511,589,368,34,462.6,-92.65
Minnesota,St. Paul,Burma,342,451,700,475,597,453,599,399,152,142,440,-67.73
Ohio,Columbus,Bhutan,112,117,261,432,397,434,387,498,378,253,418.8,-39.59
Ohio,Columbus,Somalia,209,284,123,180,454,406,409,527,291,12,417.4,-97.13
Nebraska,Omaha,Burma,457,441,338,299,441,413,536,329,192,115,382.2,-69.91
Florida,Miami,Cuba,990,1125,675,419,840,683,207,60,41,0,366.2,-100
Ohio,Akron,Bhutan,131,193,151,405,355,430,366,376,289,196,363.2,-46.04
Illinois,Chicago,Iraq,450,456,286,305,539,553,302,184,169,10,349.4,-97.14
Arizona,Phoenix,Iraq,712,621,319,379,598,590,226,161,151,1,345.2,-99.71
New York,Buffalo,Burma,668,523,466,320,481,324,438,279,148,89,334,-73.35
Michigan,Sterling Heights,Iraq,752,350,167,398,562,448,269,188,178,2,329,-99.39
Georgia,Atlanta,Burma,111,224,334,195,236,330,494,426,147,155,326.6,-52.54
Michigan,Southfield,Iraq,90,780,621,1227,1420,162,9,5,8,0,320.8,-100
Texas,Houston,Burma,752,479,525,417,443,336,410,269,109,103,313.4,-67.13
Georgia,Atlanta,Dem. Rep. Congo,0,32,0,37,43,201,385,583,317,248,305.8,-18.9
New York,Buffalo,Somalia,111,99,74,201,251,339,335,386,213,0,304.8,-100
Arizona,Phoenix,Dem. Rep. Congo,46,172,66,97,130,231,252,544,351,247,301.6,-18.1
Illinois,Chicago,Burma,133,124,189,178,195,263,544,380,123,130,301,-56.81
California,Los Angeles,Iran,79,403,99,83,229,273,282,376,245,3,281,-98.93
Texas,Dallas,Iraq,242,268,110,152,276,401,341,199,160,7,275.4,-97.46
Texas,Fort Worth,Burma,471,384,391,328,400,381,323,177,72,39,270.6,-85.59
Texas,Houston,Dem. Rep. Congo,114,163,108,120,202,92,312,419,319,158,268.8,-41.22
Arizona,Phoenix,Somalia,191,186,133,189,321,358,328,220,87,3,262.8,-98.86
Colorado,Denver,Burma,371,358,381,249,299,274,368,247,62,24,250,-90.4
Arizona,Tucson,Dem. Rep. Congo,38,40,21,33,94,251,260,420,217,150,248.4,-39.61
Kentucky,Louisville,Somalia,79,85,61,94,225,292,279,241,204,7,248.2,-97.18
Texas,Austin,Iraq,163,180,119,115,255,347,313,182,122,1,243.8,-99.59
North Carolina,Charlotte,Burma,182,196,153,195,288,235,372,224,72,50,238.2,-79.01
New York,Utica,Burma,266,355,262,230,282,257,331,254,57,72,236.2,-69.52
Florida,Jacksonville,Burma,349,440,368,299,280,275,332,190,80,13,231.4,-94.38
Washington,Seattle,Somalia,107,167,74,111,223,321,215,252,134,1,229,-99.56
Utah,Salt Lake City,Somalia,164,153,143,173,278,265,310,192,93,15,227.6,-93.41
New York,Syracuse,Somalia,144,177,59,118,184,250,302,279,122,1,227.4,-99.56
California,San Diego,Syria,0,4,0,0,0,7,53,779,287,2,225.2,-99.11
California,Sacramento,Iraq,80,167,105,126,326,270,209,144,168,1,223.4,-99.55
Iowa,Des Moines,Burma,284,141,158,196,261,312,271,194,79,78,223.4,-65.09
Georgia,Clarkston,Burma,13,95,203,265,314,266,314,140,82,36,223.2,-83.87
Texas,Amarillo,Burma,323,389,394,370,255,260,295,226,55,45,218.2,-79.38
Tennessee,Nashville,Burma,299,332,272,212,337,232,294,151,69,34,216.6,-84.3
Nebraska,Lincoln,Iraq,40,63,62,53,73,166,154,325,364,6,216.4,-97.23
Texas,Fort Worth,Dem. Rep. Congo,20,136,21,59,84,74,174,525,205,118,212.4,-44.44
Minnesota,Saint Cloud,Somalia,10,118,61,118,206,239,225,212,166,5,209.6,-97.61
Idaho,Boise,Dem. Rep. Congo,71,86,36,127,131,152,208,356,187,185,206.8,-10.54
California,San Diego,Dem. Rep. Congo,36,47,11,53,17,53,191,588,178,111,205.4,-45.96
Maryland,Baltimore,Burma,90,70,122,87,158,230,379,161,95,31,204.6,-84.85
Texas,San Antonio,Iraq,230,181,56,154,211,299,172,199,140,9,204.2,-95.59
Georgia,Atlanta,Somalia,58,74,46,138,141,275,222,136,238,0,202.4,-100
California,San Diego,Somalia,65,147,77,143,138,227,228,281,135,0,201.8,-100
Indiana,Fort Wayne,Burma,293,153,132,40,151,177,285,267,120,91,200,-54.5
Pennsylvania,Pittsburgh,Bhutan,158,187,394,422,240,315,154,144,147,72,200,-64
New York,Rochester,Bhutan,286,287,416,471,271,289,197,154,86,46,199.4,-76.93
Michigan,Grand Rapids,Dem. Rep. Congo,11,81,36,69,58,133,159,337,305,144,198.4,-27.42
Arizona,Phoenix,Burma,845,616,388,273,348,242,199,137,59,38,197,-80.71
New York,Buffalo,Dem. Rep. Congo,26,127,6,37,48,117,143,430,243,218,196.2,11.11
Arizona,Tucson,Somalia,144,56,61,140,195,264,169,211,136,0,195,-100
Georgia,Atlanta,Bhutan,226,170,227,205,132,319,243,181,88,92,192.6,-52.23
Minnesota,Minneapolis,Burma,4,226,309,160,228,204,250,162,109,136,190.6,-28.65
Colorado,Denver,Iraq,179,222,53,127,234,290,186,171,69,1,190,-99.47
Kentucky,Louisville,Dem. Rep. Congo,4,31,35,66,39,77,188,358,282,237,188.8,25.53
Nebraska,Omaha,Bhutan,49,90,199,265,215,260,184,181,103,109,188.6,-42.21
Washington,Seattle,Iraq,124,242,79,84,135,233,208,181,186,0,188.6,-100
Illinois,Chicago,Syria,0,0,8,0,0,4,88,540,265,2,179.4,-98.89
Oregon,Portland,Somalia,76,196,113,107,171,205,218,149,147,0,178,-100
Kentucky,Louisville,Iraq,182,237,86,128,181,252,211,131,87,4,172.4,-97.68
Texas,San Antonio,Burma,299,112,161,157,195,129,271,193,61,38,169.8,-77.62
Florida,Tampa,Cuba,298,365,255,172,334,333,129,43,7,0,169.2,-100
Oklahoma,Tulsa,Burma,17,28,143,126,128,179,203,234,82,38,165.2,-77
Tennessee,Nashville,Dem. Rep. Congo,8,33,0,13,33,60,140,390,200,142,164.6,-13.73
Texas,Fort Worth,Somalia,92,126,64,82,169,242,180,159,68,4,163.6,-97.56
Ohio,Columbus,Iraq,157,165,90,110,207,194,185,135,94,3,163,-98.16
New York,Buffalo,Iraq,111,171,88,103,185,228,160,135,101,1,161.8,-99.38
North Dakota,Fargo,Bhutan,141,144,188,322,161,211,154,132,151,66,161.8,-59.21
North Carolina,Charlotte,Bhutan,173,225,332,328,193,251,147,146,71,54,161.6,-66.58
Oregon,Portland,Burma,90,198,250,126,152,197,260,152,46,74,161.4,-54.15
Kentucky,Louisville,Bhutan,285,228,245,269,143,196,168,184,112,78,160.6,-51.43
Utah,Salt Lake City,Dem. Rep. Congo,27,68,39,24,27,104,150,313,205,155,159.8,-3
Arizona,Glendale,Iraq,130,100,46,93,128,148,275,114,123,4,157.6,-97.46
Michigan,Grand Rapids,Burma,248,293,273,207,211,175,199,121,79,63,157,-59.87
Missouri,Kansas City,Somalia,131,107,90,97,126,174,150,169,159,5,155.6,-96.79
Utah,Salt Lake City,Iraq,232,165,72,121,211,231,128,119,84,1,154.6,-99.35
Kansas,Kansas City,Burma,148,97,120,135,138,114,270,162,86,54,154,-64.94
Georgia,Clarkston,Bhutan,81,187,440,486,333,186,95,120,34,8,153.6,-94.79
Massachusetts,Worcester,Iraq,183,214,208,148,241,179,118,144,82,2,152.8,-98.69
Colorado,Denver,Somalia,182,156,77,79,238,228,117,64,113,6,152,-96.05
Oregon,Portland,Ukraine,43,38,22,34,18,17,100,268,357,189,152,24.34
New York,Syracuse,Bhutan,387,239,326,321,193,273,126,100,65,30,151.4,-80.18
Pennsylvania,Erie,Bhutan,193,379,705,687,294,208,97,88,64,59,150.2,-60.72
Missouri,St. Louis,Somalia,29,91,59,102,174,131,120,169,155,0,149.8,-100
Pennsylvania,Erie,Somalia,36,33,11,15,43,191,224,194,94,0,149.2,-100
New York,Syracuse,Burma,373,273,280,177,217,204,200,72,46,15,147.8,-89.85
Kentucky,Bowling Green,Burma,397,238,202,96,118,144,227,179,61,50,145.8,-65.71
Illinois,Chicago,Dem. Rep. Congo,6,17,0,46,55,113,172,267,116,100,144.6,-30.84
New York,Syracuse,Dem. Rep. Congo,41,77,3,10,8,67,167,321,157,84,144,-41.67
Tennessee,Nashville,Bhutan,313,202,259,236,244,182,105,128,61,30,144,-79.17
Utah,Salt Lake City,Burma,357,193,231,117,198,121,212,100,77,41,141.6,-71.05
Oregon,Portland,Iraq,110,177,74,70,172,214,114,112,95,2,141.4,-98.59
Texas,Houston,Somalia,116,103,33,87,171,134,189,140,66,6,140,-95.71
Washington,Kent,Iraq,64,138,95,86,203,206,117,121,45,0,138.4,-100
Michigan,Troy,Syria,0,0,0,0,0,0,62,437,188,3,137.4,-97.82
Tennessee,Nashville,Somalia,81,74,92,157,139,117,150,188,89,4,136.6,-97.07
Colorado,Denver,Bhutan,463,445,462,339,174,151,146,146,64,11,136.2,-91.92
New York,Buffalo,Bhutan,291,267,310,294,199,236,129,68,38,34,134,-74.63
Kentucky,Lexington,Dem. Rep. Congo,70,144,42,92,81,96,146,208,138,77,133.8,-42.45
Florida,Hialeah,Cuba,708,464,309,141,306,255,85,11,11,0,133.6,-100
Wisconsin,Milwaukee,Somalia,31,42,34,88,136,164,145,114,108,17,133.4,-87.26
South Dakota,Sioux Falls,Bhutan,105,118,176,361,229,163,65,121,81,65,131.8,-50.68
California,Sacramento,Ukraine,49,51,45,30,10,32,129,163,324,155,131.6,17.78
Tennessee,Nashville,Iraq,121,245,76,98,158,193,114,132,56,0,130.6,-100
Texas,Dallas,Bhutan,357,289,279,238,180,176,165,81,39,44,128.2,-65.68
Texas,Fort Worth,Bhutan,326,256,262,308,213,156,83,107,76,24,127,-81.1
Texas,Dallas,Dem. Rep. Congo,1,14,1,40,104,36,45,310,138,134,126.6,5.85
Colorado,Denver,Dem. Rep. Congo,24,219,36,54,70,141,177,121,116,42,125,-66.4
Texas,Houston,Bhutan,514,361,331,423,286,149,66,79,37,6,123.4,-95.14
Texas,Lewisville,Burma,84,71,146,142,155,121,179,102,54,9,122.2,-92.64
Arizona,Glendale,Dem. Rep. Congo,0,0,0,3,7,54,115,248,186,187,122,53.28
Michigan,Lansing,Somalia,96,53,45,79,63,143,188,145,67,3,121.2,-97.52
Missouri,Kansas City,Dem. Rep. Congo,0,10,0,6,43,72,122,217,138,145,118.4,22.47
Indiana,Indianapolis,Dem. Rep. Congo,0,43,9,15,23,36,154,214,157,112,116.8,-4.11
Michigan,Lansing,Dem. Rep. Congo,9,28,4,5,62,91,84,233,113,88,116.6,-24.53
Arizona,Tucson,Iraq,273,198,80,79,162,171,129,74,46,0,116.4,-100
North Carolina,Greensboro,Dem. Rep. Congo,39,19,20,25,42,60,70,228,182,139,116.4,19.42
Michigan,Battle Creek,Burma,101,125,185,187,173,149,134,94,24,9,114.8,-92.16
Colorado,Greeley,Burma,0,17,35,37,76,93,143,182,77,62,114.2,-45.71
Michigan,Warren,Iraq,296,151,50,143,151,145,112,109,54,3,114.2,-97.37
Idaho,Boise,Iraq,195,93,58,74,138,212,81,82,56,1,113.8,-99.12
Pennsylvania,Harrisburg,Bhutan,113,131,226,199,107,84,171,120,86,39,113.6,-65.67
Kansas,Wichita,Dem. Rep. Congo,0,0,0,0,29,33,146,263,95,119,113.2,5.12
Pennsylvania,Philadelphia,Bhutan,92,132,336,346,192,177,71,80,45,37,113,-67.26
Kentucky,Louisville,Burma,187,231,162,119,137,135,125,129,32,32,111.6,-71.33
New Hampshire,Concord,Dem. Rep. Congo,0,4,1,43,65,95,152,158,87,41,111.4,-63.2
North Carolina,Raleigh,Dem. Rep. Congo,24,25,6,27,22,63,142,202,128,54,111.4,-51.53
Texas,Fort Worth,Iraq,228,188,69,83,138,229,107,53,29,0,111.2,-100
Nevada,Las Vegas,Dem. Rep. Congo,30,22,5,35,6,32,120,286,111,71,111,-36.04
Ohio,Cincinnati,Bhutan,96,111,94,130,125,99,130,133,60,85,109.4,-22.3
Pennsylvania,Philadelphia,Iraq,129,194,102,76,178,193,98,55,22,0,109.2,-100
