state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average,total_population,foreign_born_est_prop,l1_africa,l1_americas,l1_asia,l1_europe,l1_oceania,l2_africa_eastern_africa,l2_africa_middle_africa,l2_africa_northern_africa,l2_africa_southern_africa,l2_africa_western_africa,l2_americas_latin_america,l2_americas_northern_america,l2_asia_eastern_asia,l2_asia_south_central_asia,l2_asia_south_eastern_asia,l2_asia_western_asia,l2_europe_eastern_europe,l2_europe_northern_europe,l2_europe_southern_europe,l2_europe_western_europe,l2_oceania_australia_nzealand_subregion,origin_prop
Indiana,Indianapolis,Burma,842,759,866,946,1157,1083,1149,962,368,202,943.8,-78.6,853431,9.27,14.1305722015727,52.3793269109206,27.2687046448709,5.86361222786923,0.357784014766492,3.56393334850439,0.929227034817568,1.21874130825052,0.092290576247187,6.55895218589598,51.3944726794609,0.984854231459708,4.4274191509267,7.37818908189841,13.4681028597436,1.86983235985739,2.24531593719184,1.46779943867102,0.542365167260866,1.60813168474551,0.357784014766492,7.8990619231839
California,Glendale,Iran,1889,835,385,168,359,843,934,1244,707,11,817.4,-98.65,199750,53.69,1.37999198112768,15.5640717222859,77.5704681716039,5.2887260249704,0.196742100012122,0.0662023180135575,0.140796479155594,0.837319458819361,0.148255895269798,0.155715311384001,14.9496023198784,0.614469402407527,8.41795108487883,29.8544481430716,10.4506419759993,28.8045353249974,2.60520107788563,0.892332652661613,0.716103946963552,1.04058854793141,0.196742100012122,27.9522970339497
California,San Diego,Iraq,371,543,392,486,557,853,687,644,508,4,649.8,-99.38,1390966,26.36,3.22065891620886,42.070965242961,45.6099530280795,8.60115329430827,0.497269518442344,1.70457335202754,0.161755800568464,0.573646624950218,0.451716029918004,0.282049743318367,40.3110184887153,1.75994675424575,11.6589653084271,7.38130179322535,23.9941407848293,2.5163528840541,2.84859329736335,2.43724802374237,1.27522490330113,1.99126027681246,0.357335748304701,0.35624464678316
California,El Cajon,Iraq,2645,1955,945,1276,1450,962,342,229,155,5,627.6,-99.2,103314,29.84,1.88440581214323,29.9331862999481,64.3454852101712,3.45420342501297,0.382719252724442,0.817332641411521,0.27893098079917,0.788142189932538,0,0,29.6347950181629,0.298391281785158,1.23572911261028,3.77854177477945,5.53645563051375,53.5352880124546,1.65088220031136,0.849766476388168,0.700570835495589,0.252983912817852,0.194603009859886,48.4950700570836
Wisconsin,Milwaukee,Burma,318,341,420,349,442,499,877,867,396,257,616.2,-58.29,599086,9.69,7.00466863059245,57.4207108033146,26.7627956655813,8.6808965148931,0.13092838561855,2.87353351594398,0.215342739504195,0.747669991558565,0.139542095198718,2.09485416989681,56.521439523145,0.899271280169518,3.21808189915069,3.59708512067807,16.9293848088618,2.36704739263011,5.02179268523783,0.899271280169518,0.778679346047169,1.97081675194239,0.0981962892139129,2.27229658724826
Texas,Houston,Iraq,390,447,223,345,634,847,625,463,321,6,578,-98.96,2267336,29.21,5.92084601633087,69.8321314683287,20.0605764120404,3.95362250567715,0.232823597622844,1.23961202106585,0.764452577668261,0.54053727593371,0.193566700487993,2.57495047591438,69.0752282939556,0.756903174373098,4.76518335990723,6.51000144948543,6.65676184954341,2.03033652220129,1.31450210175388,1.21786973957578,0.482255882495048,0.927670676909697,0.212440208725902,0.508527805962217
Texas,Dallas,Burma,758,560,509,452,483,579,778,557,251,147,529.6,-72.24,1300122,24.44,6.66297393159838,78.5208707721068,11.8798014735272,2.81738900551078,0.118964817256822,3.0767197182611,0.597341860194309,0.340843643092959,0.36318888654596,1.88109183265616,77.858696233725,0.66217453838189,2.78025184033537,4.16691582137653,3.86446823041408,1.05400310315634,0.984134877148369,0.773900755646895,0.410711869100934,0.648641503614579,0.106061225967061,0.753758564365316
Michigan,Troy,Iraq,71,36,73,45,182,1111,470,377,268,2,481.6,-99.58,83336,28.4,3.34657314290543,7.88472914729992,74.6175948618271,14.1299754922674,0.0211273557001606,0.43944899856334,0,2.60711569339981,0.0549311248204175,0.13944054762106,4.36913715879321,3.51559198850672,18.1314966618778,37.2602045128032,4.86351728217696,14.3623764049692,10.1242288515169,1.49581678357137,1.24651398630947,1.2634158708696,0.0211273557001606,10.6059325614806
Minnesota,Minneapolis,Somalia,75,216,129,260,384,461,511,589,368,34,462.6,-92.65,411452,15.89,34.1114918614613,33.0345122995961,25.4543507526619,6.97589034389916,0.423754742381593,29.3170970505446,0.272304491494309,0.826092277567005,0.289132297148452,3.05807122751193,31.3318443274997,1.70266797209644,8.4552074409497,5.12024232040142,9.91922653286012,1.93213804919838,2.84389915555012,1.76233019214294,0.725125443642149,1.63535674947987,0.361032921307062,18.3178313547913
Minnesota,St. Paul,Burma,342,451,700,475,597,453,599,399,152,142,440,-67.73,300820,19.49,21.6422237380628,19.1183492496589,54.9351978171896,4.13881309686221,0.165416098226467,16.0300136425648,0.289904502046385,0.446793997271487,0.301841746248295,4.38267394270123,18.2077080491132,0.910641200545703,4.62994542974079,3.47203274215553,44.8175306957708,1.99522510231924,1.61493860845839,0.989085948158254,0.497953615279673,1.02148703956344,0.13130968622101,8.85743519781719
