GEO_ID,NAME,S0501_C01_001E,S0501_C02_001E,S0501_C03_001E,S0501_C04_001E,S0501_C05_001E,S0501_C01_004E,S0501_C02_004E,S0501_C03_004E,S0501_C03_004M,S0501_C04_004E,S0501_C04_004M,S0501_C05_004E,S0501_C05_004M,S0501_C01_005E,S0501_C02_005E,S0501_C03_005E,S0501_C03_005M,S0501_C04_005E,S0501_C04_005M,S0501_C05_005E,S0501_C05_005M
id,Geographic Area Name,Total population,Born in US,Foreign born,Foreign born/naturalized,Foreign born/not citizen,Total percent under 5,Percent native under 5,Percent Foreign born under 5,MOE FB under 5,FB/citizen under 5,MOE FB/citizen under 5,FB not citizen under 5,MOE FB not citizen under 5,Total 5 to 17,Native born 5-17,FB 5 to 17,MOE FB 5 to 17,FB/Citizen 5-17,MOE FB/Citizen 5-17,FB/Not Citizen 5-17,MOE FB/Not citizen 5-17
0500000US08041,"El Paso County, Colorado",674826,628411,46415,23991,22424,6.9,7.3,0.8,0.4,0,0.1,1.5,0.8,17.9,18.8,5.5,0.8,5.3,1.1,5.8,1.3
0500000US08005,"Arapahoe County, Colorado",626612,533523,93089,39874,53215,6.4,7.4,0.9,0.2,0.1,0.1,1.5,0.4,17.9,19.7,7.3,0.6,4.5,0.7,9.4,0.9
0500000US08123,"Weld County, Colorado",285729,260638,25091,8493,16598,7.3,8,0.4,0.3,0.4,0.6,0.4,0.2,19.4,20.7,6.4,1.1,4.9,2.1,7.2,1.3
0500000US08001,"Adams County, Colorado",487850,413382,74468,23116,51352,7.5,8.8,0.6,0.2,0.4,0.3,0.7,0.2,20,22.5,6.3,0.6,3.1,0.9,7.7,0.9
0500000US08035,"Douglas County, Colorado",320940,297753,23187,12609,10578,6.2,6.5,1.7,0.8,0.7,0.7,3,1.5,21.6,22.7,8.2,1.2,7.2,1.5,9.3,2.1
0500000US08037,"Eagle County, Colorado",53726,44240,9486,2267,7219,5.9,7,0.9,1.1,0,1.4,1.2,1.4,16.6,19.4,3.5,1.2,5,3.8,3,1.3
0500000US08069,"Larimer County, Colorado",330976,313184,17792,7895,9897,5.4,5.6,1.7,0.7,0.5,0.4,2.6,1.1,14.9,15.4,7.2,1.5,6.1,2,8,2.1
0500000US08013,"Boulder County, Colorado",316782,282635,34147,14507,19640,4.8,5.3,0.8,0.3,0.2,0.2,1.2,0.5,15.1,16.1,7.1,1.1,5.3,1.3,8.4,1.6
0500000US08031,"Denver County, Colorado",678467,571326,107141,37228,69913,6.4,7.5,0.7,0.2,0.2,0.2,1,0.3,14,15.4,6.7,0.7,4.7,0.9,7.7,0.9
0500000US08045,"Garfield County, Colorado",57945,49259,8686,2041,6645,7,8.2,0.3,0.5,0,1.6,0.3,0.6,18.8,20.9,6.8,2.6,7.3,4.8,6.6,2.8
0500000US08059,"Jefferson County, Colorado",564029,526339,37690,19088,18602,5.3,5.6,0.8,0.3,0.2,0.2,1.4,0.7,15.3,16,6.1,1.1,5.1,0.9,7.2,2.1
