GEO_ID,NAME,S0501_C01_001E,S0501_C02_001E,S0501_C03_001E,S0501_C04_001E,S0501_C05_001E,S0501_C01_033E,S0501_C02_033M,S0501_C03_033E,S0501_C03_033M,S0501_C04_033E,S0501_C01_035E,S0501_C02_035E,S0501_C03_035E,S0501_C03_035M,S0501_C04_035E,S0501_C04_035M,S0501_C05_035E,S0501_C05_035M,S0501_C01_036E,S0501_C02_036E,S0501_C03_036E,S0501_C03_036M,S0501_C04_036E,S0501_C04_036M,S0501_C05_036E,S0501_C05_036M
from 17,Geographic Area Name,Total population,Born in US,Foreign born total,FB/citizen,FB/not citizen,Total age 3 & up in school,Native born/3 & up in school,FB Total/3 & up in school,FB/citizen/ 3&up in School,FB/not citizen/3&up in school,% Total 3&up K-8,% Native born 3&up K-8,% Foreign born 3&up K-8,MOE % Foreign born 3&up K-8,% FB Citizen 3&up K-8,MOE % FB Citizen 3&up K-8,% FB NOT Citizen 3&up K-8,MOE % FB NOT Citizen 3&up K-8,% Total 3&up in high school,% Native born 3&up in high school,%Foreign born 3&up in high school,MOE %Foreign born 3&up in high school,%FB citizen 3&up in high school,MOE %FB citizen 3&up in high school,%FB NOT citizen 3&up in high school,MOE %FB NOT citizen 3&up in high school
0500000US08001,"Adams County, Colorado",425330,361017,64313,17365,46948,109310,1641,8906,806,1701,53.5,54.5,42.6,4.2,23.3,7.6,47.2,4.6,21.6,20.7,31.6,3.5,23.5,8.3,33.6,3.8
0500000US08005,"Arapahoe County, Colorado",552860,470446,82414,28090,54324,146850,1652,13168,929,3759,47.4,48.3,37.9,3.4,17.2,4.6,46.2,4.2,22.5,22.4,23.3,2.8,24,4.7,23,3.1
0500000US08013,"Boulder County, Colorado",290177,257764,32413,10735,21678,90986,1293,7246,614,2256,34,34.3,31.1,3.6,27,6.4,33,5.1,15.4,15.1,19.3,3.4,10.8,4.6,23.1,4.1
0500000US08031,"Denver County, Colorado",578087,481857,96230,27161,69069,137251,2147,15371,1114,3359,41.4,42.1,35.9,3.5,21.6,5.6,39.9,3.9,17.8,16.7,26.2,2.2,18.9,4.5,28.2,2.8
0500000US08035,"Douglas County, Colorado",273440,257256,16184,8398,7786,81484,879,2150,324,858,53.8,54.1,43.1,7.5,44.2,12.8,42.4,8.5,20.8,21,14.4,4.2,11.7,6.5,16.3,6.1
0500000US08037,"Eagle County, Colorado",50793,40690,10103,1768,8335,10659,472,871,295,106,54.9,54.5,60.3,11.7,16,20.5,66.4,12.7,20.7,20.4,23.7,10,70.8,25.5,17.1,9.9
0500000US08041,"El Paso County, Colorado",599988,556805,43183,19949,23234,171453,1664,6539,656,2468,46.1,46.5,35.6,4.5,28.4,6.9,39.9,5.7,20.2,20,25.4,4.1,18.8,4.6,29.4,5.7
0500000US08045,"Garfield County, Colorado",54761,45613,9148,1396,7752,13600,587,1501,380,77,53.3,53.4,52,9.3,0,34.6,54.8,8.6,23.7,23,29,7.8,64.9,51.5,27.1,7.2
0500000US08059,"Jefferson County, Colorado",528614,494914,33700,15167,18533,132585,1349,5209,578,1935,44.6,45.2,29.6,4.4,29.7,7.1,29.5,6.2,23.2,23.2,23,4.6,20.7,6,24.4,6.5
0500000US08069,"Larimer County, Colorado",291162,275750,15412,5723,9689,88856,1469,3280,558,1286,35,35.2,30,5,29.9,9.5,30.1,6.7,17.1,17.2,14.1,4.2,12.8,6.1,14.9,5.5
0500000US08123,"Weld County, Colorado",242860,219814,23046,6520,16526,71782,1189,3826,555,1032,46.6,47.3,32.9,5.5,21.9,11.1,36.9,6.6,18.6,18,29.9,4.9,12.5,5.2,36.3,5.9
