GEO_ID,NAME,B06001_001E,B05002_002E,B06001_049E,B06001_049M,B06001_002E,B06001_002M,B06001_050E,B06001_050M,B06001_003E,B06001_003M,B06001_051E,B06001_051M
id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!Native,Estimate!!Total!!Foreign born,Margin of Error!!Total!!Foreign born,Estimate!!Total!!Under 5 years,Margin of Error!!Total!!Under 5 years,Estimate!!Total!!Foreign born!!Under 5 years,Margin of Error!!Total!!Foreign born!!Under 5 years,Estimate!!Total!!5 to 17 years,Margin of Error!!Total!!5 to 17 years,Estimate!!Total!!Foreign born!!5 to 17 years,Margin of Error!!Total!!Foreign born!!5 to 17 years
0500000US08101,"Pueblo County, Colorado",167529,161690,5839,1585,9603,358,0,204,27883,397,22,38
0500000US08005,"Arapahoe County, Colorado",651215,555232,95983,6325,40002,3,1289,698,112659,468,6319,1891
0500000US08069,"Larimer County, Colorado",350518,328402,22116,2963,18305,591,0,204,50693,691,857,627
0500000US08077,"Mesa County, Colorado",153207,146072,7135,1817,8479,318,99,170,25230,666,756,573
0500000US08041,"El Paso County, Colorado",713856,662891,50965,4666,48241,743,341,431,123821,743,2647,1157
0500000US08123,"Weld County, Colorado",314305,288405,25900,3388,22829,458,0,204,59668,459,1255,881
0500000US08013,"Boulder County, Colorado",326078,292834,33244,2633,14478,263,189,157,47662,326,1516,705
0500000US08059,"Jefferson County, Colorado",580233,542627,37606,3630,30113,470,55,94,84405,471,1885,858
0500000US08014,"Broomfield County, Colorado",69267,61446,7821,2093,3761,855,230,390,12106,859,536,557
0500000US08001,"Adams County, Colorado",511868,430939,80929,6236,36106,187,371,292,99669,188,3787,1341
0500000US08031,"Denver County, Colorado",716492,614546,101946,6676,42755,294,953,735,96944,256,5675,1862
0500000US08035,"Douglas County, Colorado",342776,318670,24106,2523,20193,474,230,263,68785,475,2100,827
