STATE,COUNTY,TOTAL NUMBER OF UAC RELEASED  TO SPONSORS IN FY 2018
,,(THROUGH SEPTEMBER 2018)
AL,Franklin County,54
AL,Jefferson County,98
AL,Marshall County,83
AL,Tuscaloosa County,52
AR,Pulaski County,55
AZ,Maricopa County,242
CA,Alameda County,504
CA,Contra Costa County,137
CA,Fresno County,132
CA,Kern County,63
CA,Los Angeles County,"1,810"
CA,Marin County,106
CA,Monterey County,93
CA,Orange County,150
CA,Riverside County,236
CA,Sacramento County,68
CA,San Bernardino County,104
CA,San Diego County,213
CA,San Francisco County,180
CA,San Joaquin County,89
CA,San Mateo County,244
CA,Santa Barbara County,69
CA,Santa Clara County,169
CA,Ventura County,75
CO,Arapahoe County,62
CT,Fairfield County,209
DE,Sussex County,191
FL,Broward County,304
FL,Collier County,233
FL,Duval County,140
FL,Hillsborough County,188
FL,Lee County,494
FL,Manatee County,80
FL,Martin County,124
FL,Miami-Dade County,819
FL,Orange County,254
FL,Palm Beach County,902
FL,Polk County,51
FL,Seminole County,59
GA,Cherokee County,106
GA,Cobb County,128
GA,DeKalb County,253
GA,Gwinnett County,175
GA,Hall County,74
IL,Cook County,195
IL,DuPage County,99
IN,Marion County,132
KS,Ford County,59
KS,Wyandotte County,79
KY,Jefferson County,94
LA,East Baton Rouge Parish,189
LA,Jefferson Parish,261
LA,Orleans Parish,166
MA,Bristol County,121
MA,Essex County,246
MA,Middlesex County,158
MA,Suffolk County,178
MD,Anne Arundel County,89
MD,Baltimore city,221
MD,Baltimore County,178
MD,Frederick County,54
MD,Howard County,69
MD,Montgomery County,356
MD,Prince George's County,571
MN,Nobles County,53
MO,Jackson County,62
MS,Scott County,81
NC,Durham County,96
NC,Mecklenburg County,322
NC,Wake County,148
NE,Douglas County,157
NJ,Bergen County,230
NJ,Essex County,180
NJ,Hudson County,215
NJ,Mercer County,195
NJ,Middlesex County,113
NJ,Morris County,137
NJ,Passaic County,84
NJ,Union County,420
NV,Clark County,119
NY,Bronx County,191
NY,Kings County,452
NY,Nassau County,378
NY,Orange County,76
NY,Queens County,673
NY,Rockland County,109
NY,Suffolk County,452
NY,Westchester County,210
OH,Franklin County,81
OH,Hamilton County,213
OH,Tuscarawas County,66
OK,Oklahoma County,95
OK,Tulsa County,97
PA,Chester County,51
PA,Montgomery County,69
PA,Philadelphia County,206
RI,Providence County,208
SC,Charleston County,51
SC,Greenville County,120
SC,Horry County,74
SC,Lexington County,51
TN,Davidson County,366
TN,Hamilton County,143
TN,Knox County,78
TN,Rutherford County,57
TN,Shelby County,212
TX,Bexar County,124
TX,Cameron County,56
TX,Dallas County,595
TX,Galveston County,51
TX,Harris County,"2,079"
TX,Jefferson County,56
TX,Montgomery County,95
TX,Tarrant County,126
TX,Travis County,266
VA,Alexandria city,75
VA,Arlington County,54
VA,Chesterfield County,119
VA,Fairfax County,460
VA,Henrico County,63
VA,Loudoun County,80
VA,Prince William County,149
VA,Richmond city,125
WA,King County,142
WA,Mason County,69
,,
